Duration: 58099 s 
Number of collocations: 754
(('vending_machine', 'vending_machine'), 0.6666666666666666)
(('bicycle_parking', 'bicycle_parking'), 0.45901639344262296)
(('restaurant', 'restaurant'), 0.41)
(('drinking_water', 'drinking_water'), 0.38461538461538464)
(('college', 'college'), 0.375)
(('parking_entrance', 'parking_entrance'), 0.35294117647058826)
(('bicycle_parking', 'bicycle_rental'), 0.3181818181818182)
(('atm', 'atm'), 0.3076923076923077)
(('drinking_water', 'vending_machine'), 0.3076923076923077)
(('parking', 'parking'), 0.29541864139020535)
(('dentist', 'dentist'), 0.29411764705882354)
(('cafe', 'cafe'), 0.2727272727272727)
(('bar', 'bar'), 0.2604166666666667)
(('restaurant', 'cafe'), 0.255)
(('telephone', 'taxi'), 0.25)
(('telephone', 'college'), 0.25)
(('fast_food', 'restaurant'), 0.245)
(('public_building', 'public_building'), 0.24242424242424243)
(('bench', 'bench'), 0.24031007751937986)
(('restaurant', 'bar'), 0.2275)
(('fuel', 'fuel'), 0.21962616822429906)
(('public_building', 'bicycle_parking'), 0.21311475409836064)
(('theatre', 'theatre'), 0.20689655172413793)
(('bicycle_rental', 'public_building'), 0.20454545454545456)
(('pharmacy', 'cafe'), 0.19480519480519481)
(('cafe', 'bicycle_rental'), 0.19480519480519481)
(('cafe', 'bar'), 0.18181818181818182)
(('dojo', 'nightclub'), 0.18181818181818182)
(('nightclub', 'nightclub'), 0.18181818181818182)
(('fast_food', 'fast_food'), 0.18064516129032257)
(('bank', 'pharmacy'), 0.18032786885245902)
(('bar', 'pub'), 0.17708333333333334)
(('dentist', 'nightclub'), 0.17647058823529413)
(('restaurant', 'pub'), 0.17)
(('bicycle_parking', 'cafe'), 0.16883116883116883)
(('restaurant', 'bank'), 0.1675)
(('casino', 'casino'), 0.16666666666666666)
(('animal_boarding', 'childcare'), 0.16666666666666666)
(('cafe', 'bank'), 0.16393442622950818)
(('bench', 'bicycle_parking'), 0.16393442622950818)
(('toilets', 'toilets'), 0.16326530612244897)
(('restaurant', 'bicycle_rental'), 0.16)
(('pub', 'cafe'), 0.15584415584415584)
(('atm', 'events_venue'), 0.15384615384615385)
