Duration: 79 s 

Number of collocations: 1208

(('ferry_terminal', 'ferry_terminal'), 1)
(('picnic_area', 'yes'), 1)
(('bbq', 'bbq'), 1)
(('beauty salon', 'dry cleaner'), 1)
(('conference_centre', 'rail'), 1)
(('bench', 'bench'), 0.937984496124031)
(('parking', 'parking'), 0.9285939968404423)
(('waste_basket', 'waste_basket'), 0.88)
(('vending_machine', 'vending_machine'), 0.8333333333333334)
(('casino', 'casino'), 0.8333333333333334)
(('parking_entrance', 'parking_entrance'), 0.8235294117647058)
(('waste_disposal', 'waste_disposal'), 0.7692307692307693)
(('restaurant', 'restaurant'), 0.7625)
(('telephone', 'taxi'), 0.75)
(('bicycle_parking', 'bicycle_parking'), 0.7213114754098361)
(('public_building', 'public_building'), 0.6666666666666666)
(('childcare', 'childcare'), 0.6666666666666666)
(('swimming_pool', 'swimming_pool'), 0.6666666666666666)
(('studio', 'studio'), 0.6)
(('theatre', 'theatre'), 0.5862068965517241)
(('bar', 'bar'), 0.5625)
(('restaurant', 'bar'), 0.54)
(('drinking_water', 'drinking_water'), 0.5384615384615384)
(('fast_food', 'fast_food'), 0.535483870967742)
(('place_of_worship', 'place_of_worship'), 0.5341055341055341)
(('bicycle_parking', 'bicycle_rental'), 0.5227272727272727)
(('cafe', 'bar'), 0.5104166666666666)
(('school', 'school'), 0.5044929396662388)
(('fast_food', 'restaurant'), 0.5032258064516129)
(('pub', 'pub'), 0.5)
(('telephone', 'telephone'), 0.5)
(('prison', 'prison'), 0.5)
(('toilets', 'toilets'), 0.4897959183673469)
(('cafe', 'cafe'), 0.4805194805194805)
(('shelter', 'shelter'), 0.46715328467153283)
(('hospital', 'hospital'), 0.4666666666666667)
(('atm', 'atm'), 0.46153846153846156)
(('cafe', 'restaurant'), 0.4475)
(('college', 'college'), 0.4375)
(('fuel', 'fuel'), 0.42990654205607476)
(('bank', 'pharmacy'), 0.4153846153846154)
(('cafe', 'bicycle_rental'), 0.4025974025974026)
(('clinic', 'clinic'), 0.3888888888888889)
(('place_of_worship', 'school'), 0.3861003861003861)
(('place_of_worship', 'parking'), 0.3766192733017378)
(('nightclub', 'ice_cream'), 0.36363636363636365)
(('nightclub', 'nightclub'), 0.36363636363636365)
(('bench', 'bicycle_parking'), 0.3488372093023256)
(('restaurant', 'parking'), 0.34786729857819904)
(('theatre', 'pub'), 0.3448275862068966)
(('bicycle_rental', 'pub'), 0.3409090909090909)
(('bicycle_rental', 'restaurant'), 0.34)
(('bicycle_rental', 'bar'), 0.3333333333333333)
(('picnic_area', 'public_bookcase'), 0.3333333333333333)
(('public_bookcase', 'yes'), 0.3333333333333333)
(('clock', 'swimming_pool'), 0.3333333333333333)
(('parking_entrance', 'car_rental'), 0.3333333333333333)
(('restaurant', 'bank'), 0.3275)
(('pub', 'cafe'), 0.3246753246753247)
(('pharmacy', 'pharmacy'), 0.3230769230769231)
(('fast_food', 'fuel'), 0.32242990654205606)
(('theatre', 'university'), 0.3157894736842105)
(('hospital', 'university'), 0.3157894736842105)
(('restaurant', 'pub'), 0.315)
(('bicycle_parking', 'university'), 0.3114754098360656)
(('fast_food', 'pharmacy'), 0.3096774193548387)
(('school', 'parking'), 0.3080568720379147)
(('studio', 'animal_boarding'), 0.3)
(('casino', 'prison'), 0.3)
(('cafe', 'bank'), 0.29508196721311475)
(('bicycle_parking', 'fountain'), 0.29411764705882354)
(('social_facility', 'social_facility'), 0.29411764705882354)
(('dentist', 'dentist'), 0.29411764705882354)
(('bar', 'pub'), 0.2916666666666667)
(('toilets', 'shelter'), 0.2846715328467153)
(('bar', 'theatre'), 0.28125)
(('bar', 'bank'), 0.2786885245901639)
(('bicycle_parking', 'drinking_water'), 0.2786885245901639)
(('townhall', 'courthouse'), 0.2777777777777778)
(('theatre', 'public_building'), 0.27586206896551724)
(('bicycle_rental', 'theatre'), 0.2727272727272727)
(('bicycle_parking', 'cafe'), 0.2727272727272727)
(('bicycle_rental', 'public_building'), 0.2727272727272727)
(('ice_cream', 'public_building'), 0.2727272727272727)
(('pub', 'public_building'), 0.26666666666666666)
(('bank', 'fast_food'), 0.2645161290322581)
(('waste_basket', 'bench'), 0.26356589147286824)
(('university', 'university'), 0.2631578947368421)
(('fuel', 'restaurant'), 0.2616822429906542)
(('cafe', 'pharmacy'), 0.26153846153846155)
(('pharmacy', 'restaurant'), 0.26)
(('theatre', 'cafe'), 0.2597402597402597)
(('townhall', 'police'), 0.25925925925925924)
(('fast_food', 'cafe'), 0.25806451612903225)
(('restaurant', 'bicycle_parking'), 0.2575)
(('restaurant', 'ice_cream'), 0.255)
(('bicycle_parking', 'bicycle_repair_station'), 0.25)
(('bicycle_repair_station', 'fountain'), 0.25)
(('arts_centre', 'nightclub'), 0.25)
(('arts_centre', 'arts_centre'), 0.25)
(('bank', 'bank'), 0.2459016393442623)
(('bicycle_parking', 'pub'), 0.2459016393442623)
(('theatre', 'bicycle_parking'), 0.2459016393442623)
(('toilets', 'fountain'), 0.24489795918367346)
(('toilets', 'public_building'), 0.24489795918367346)
(('bicycle_repair_station', 'public_building'), 0.24242424242424243)
(('theatre', 'nightclub'), 0.2413793103448276)
(('bench', 'toilets'), 0.24031007751937986)
(('fountain', 'fountain'), 0.23529411764705882)
(('nightclub', 'dentist'), 0.23529411764705882)
(('theatre', 'fountain'), 0.23529411764705882)
(('ice_cream', 'pub'), 0.23333333333333334)
(('pharmacy', 'clinic'), 0.23076923076923078)
(('atm', 'events_venue'), 0.23076923076923078)
(('bicycle_parking', 'public_building'), 0.22950819672131148)
(('post_office', 'townhall'), 0.22727272727272727)
(('toilets', 'drinking_water'), 0.22448979591836735)
(('bicycle_parking', 'library'), 0.22448979591836735)
(('police', 'courthouse'), 0.2222222222222222)
(('cafe', 'public_building'), 0.22077922077922077)
(('bar', 'bicycle_parking'), 0.21875)
(('bicycle_repair_station', 'university'), 0.21052631578947367)
(('ice_cream', 'cafe'), 0.2077922077922078)
(('bar', 'fast_food'), 0.2064516129032258)
(('bicycle_parking', 'toilets'), 0.20408163265306123)
(('toilets', 'bicycle_rental'), 0.20408163265306123)
(('pub', 'courthouse'), 0.2)
(('pub', 'nightclub'), 0.2)
(('doctors', 'doctors'), 0.2)
(('fast_food', 'parking'), 0.1971563981042654)
(('bicycle_rental', 'parking'), 0.19462875197472354)
(('bar', 'parking'), 0.19210110584518167)
(('nightclub', 'bar'), 0.1875)
(('toilets', 'bicycle_repair_station'), 0.1875)
(('restaurant', 'public_building'), 0.1875)
(('theatre', 'restaurant'), 0.185)
(('pharmacy', 'bicycle_rental'), 0.18461538461538463)
(('library', 'library'), 0.1836734693877551)
(('parking_entrance', 'nightclub'), 0.18181818181818182)
(('bicycle_repair_station', 'bicycle_rental'), 0.18181818181818182)
(('parking_entrance', 'public_building'), 0.18181818181818182)
(('nightclub', 'public_building'), 0.18181818181818182)
(('dojo', 'nightclub'), 0.18181818181818182)
(('dentist', 'post_office'), 0.18181818181818182)
(('nightclub', 'vending_machine'), 0.18181818181818182)
(('bank', 'clinic'), 0.18032786885245902)
(('bicycle_parking', 'bank'), 0.18032786885245902)
(('bicycle_rental', 'bank'), 0.18032786885245902)
(('bench', 'bicycle_rental'), 0.17829457364341086)
(('restaurant', 'library'), 0.1775)
(('ice_cream', 'bar'), 0.17708333333333334)
(('fountain', 'parking_entrance'), 0.17647058823529413)
(('public_bookcase', 'fountain'), 0.17647058823529413)
(('nightclub', 'fountain'), 0.17647058823529413)
(('public_building', 'fountain'), 0.17647058823529413)
(('dojo', 'dentist'), 0.17647058823529413)
(('dentist', 'vending_machine'), 0.17647058823529413)
(('dentist', 'ice_cream'), 0.17647058823529413)
(('fuel', 'parking'), 0.17567140600315956)
(('parking_entrance', 'theatre'), 0.1724137931034483)
(('pharmacy', 'dentist'), 0.16923076923076924)
(('bicycle_repair_station', 'cafe'), 0.16883116883116883)
(('cafe', 'parking'), 0.16872037914691942)
(('clinic', 'dentist'), 0.16666666666666666)
(('clinic', 'university'), 0.16666666666666666)
(('doctors', 'hospital'), 0.16666666666666666)
(('parking_entrance', 'courthouse'), 0.16666666666666666)
(('yes', 'courthouse'), 0.16666666666666666)
(('pub', 'casino'), 0.16666666666666666)
(('childcare', 'animal_boarding'), 0.16666666666666666)
(('prison', 'courthouse'), 0.16666666666666666)
(('atm', 'bank'), 0.16393442622950818)
(('bicycle_parking', 'ice_cream'), 0.16393442622950818)
(('bicycle_parking', 'parking_entrance'), 0.16393442622950818)
(('townhall', 'library'), 0.16326530612244897)
(('parking_entrance', 'waste_basket'), 0.16)
(('bicycle_rental', 'ice_cream'), 0.1590909090909091)
(('bicycle_rental', 'nightclub'), 0.1590909090909091)
(('bicycle_rental', 'public_bookcase'), 0.1590909090909091)
(('bicycle_rental', 'drinking_water'), 0.1590909090909091)
(('bicycle_rental', 'university'), 0.1590909090909091)
(('bicycle_rental', 'bicycle_rental'), 0.1590909090909091)
(('drinking_water', 'university'), 0.15789473684210525)
(('fountain', 'university'), 0.15789473684210525)
(('bar', 'public_building'), 0.15625)
(('dentist', 'bar'), 0.15625)
(('atm', 'waste_basket'), 0.15384615384615385)
(('drinking_water', 'vending_machine'), 0.15384615384615385)
(('courthouse', 'public_building'), 0.15151515151515152)
(('waste_basket', 'post_box'), 0.15)
(('nightclub', 'bank'), 0.14754098360655737)
(('bank', 'dentist'), 0.14754098360655737)
(('bicycle_parking', 'atm'), 0.14754098360655737)
(('bicycle_parking', 'public_bookcase'), 0.14754098360655737)
(('bar', 'library'), 0.14285714285714285)
(('bicycle_rental', 'library'), 0.14285714285714285)
(('restaurant', 'place_of_worship'), 0.1402831402831403)
(('fuel', 'place_of_worship'), 0.138996138996139)
(('clinic', 'doctors'), 0.1388888888888889)
(('veterinary', 'clinic'), 0.1388888888888889)
(('hospital', 'clinic'), 0.1388888888888889)
(('pharmacy', 'bicycle_parking'), 0.13846153846153847)
(('bicycle_repair_station', 'theatre'), 0.13793103448275862)
(('theatre', 'atm'), 0.13793103448275862)
(('theatre', 'arts_centre'), 0.13793103448275862)
(('theatre', 'courthouse'), 0.13793103448275862)
(('post_box', 'post_office'), 0.13636363636363635)
(('nightclub', 'post_office'), 0.13636363636363635)
(('bicycle_rental', 'fountain'), 0.13636363636363635)
(('bicycle_rental', 'courthouse'), 0.13636363636363635)
(('fast_food', 'bicycle_parking'), 0.13548387096774195)
(('pharmacy', 'bar'), 0.13541666666666666)
(('dentist', 'pub'), 0.13333333333333333)
(('vending_machine', 'pub'), 0.13333333333333333)
(('fire_station', 'bank'), 0.13114754098360656)
(('bank', 'library'), 0.13114754098360656)
(('waste_basket', 'bicycle_parking'), 0.13114754098360656)
(('bicycle_parking', 'nightclub'), 0.13114754098360656)
(('bicycle_parking', 'courthouse'), 0.13114754098360656)
(('restaurant', 'nightclub'), 0.13)
(('bank', 'parking'), 0.1292259083728278)
(('telephone', 'college'), 0.125)
(('bicycle_repair_station', 'bicycle_repair_station'), 0.125)
(('bar', 'community_centre'), 0.125)
(('atm', 'arts_centre'), 0.125)
(('events_venue', 'arts_centre'), 0.125)
(('bar', 'fountain'), 0.125)
(('public_bookcase', 'bicycle_repair_station'), 0.125)
(('arts_centre', 'bar'), 0.125)
(('bar', 'post_office'), 0.125)
(('dojo', 'arts_centre'), 0.125)
(('arts_centre', 'dentist'), 0.125)
(('arts_centre', 'vending_machine'), 0.125)
(('veterinary', 'animal_boarding'), 0.125)
(('shelter', 'public_building'), 0.12408759124087591)
(('pharmacy', 'doctors'), 0.12307692307692308)
(('bicycle_rental', 'fast_food'), 0.12258064516129032)
(('pub', 'library'), 0.12244897959183673)
(('library', 'courthouse'), 0.12244897959183673)
(('library', 'police'), 0.12244897959183673)
(('bank', 'fuel'), 0.12149532710280374)
(('post_box', 'public_building'), 0.12121212121212122)
(('public_bookcase', 'public_building'), 0.12121212121212122)
(('yes', 'public_building'), 0.12121212121212122)
(('public_building', 'casino'), 0.12121212121212122)
(('restaurant', 'dentist'), 0.12)
(('fountain', 'pub'), 0.11764705882352941)
(('car_wash', 'car_wash'), 0.11764705882352941)
(('veterinary', 'car_wash'), 0.11764705882352941)
(('parking_entrance', 'casino'), 0.11764705882352941)
(('deloitte', 'parking_entrance'), 0.11764705882352941)
(('parking_entrance', 'public_bookcase'), 0.11764705882352941)
(('social_facility', 'beauty salon'), 0.11764705882352941)
(('social_facility', 'dry cleaner'), 0.11764705882352941)
(('restaurant', 'bicycle_repair_station'), 0.1175)
(('pharmacy', 'parking'), 0.11690363349131122)
(('cafe', 'nightclub'), 0.11688311688311688)
(('cafe', 'fountain'), 0.11688311688311688)
(('cafe', 'public_bookcase'), 0.11688311688311688)
(('bench', 'community_centre'), 0.11627906976744186)
(('restaurant', 'courthouse'), 0.115)
(('bank', 'pub'), 0.11475409836065574)
(('bank', 'police'), 0.11475409836065574)
(('bank', 'community_centre'), 0.11475409836065574)
(('bank', 'arts_centre'), 0.11475409836065574)
(('bicycle_repair_station', 'bar'), 0.11458333333333333)
(('bicycle_parking', 'parking'), 0.11374407582938388)
(('police', 'bicycle_rental'), 0.11363636363636363)
(('bicycle_rental', 'picnic_area'), 0.11363636363636363)
(('pharmacy', 'fuel'), 0.11214953271028037)
(('townhall', 'public_building'), 0.1111111111111111)
(('post_office', 'police'), 0.1111111111111111)
(('police', 'fire_station'), 0.1111111111111111)
(('library', 'fire_station'), 0.1111111111111111)
(('bicycle_parking', 'clinic'), 0.1111111111111111)
(('atm', 'clinic'), 0.1111111111111111)
(('bicycle_parking', 'police'), 0.1111111111111111)
(('townhall', 'pub'), 0.1111111111111111)
(('police', 'public_building'), 0.1111111111111111)
(('dentist', 'community_centre'), 0.1111111111111111)
(('parking', 'shelter'), 0.10963665086887836)
(('toilets', 'university'), 0.10526315789473684)
(('arts_centre', 'university'), 0.10526315789473684)
(('restaurant', 'fountain'), 0.105)
(('bar', 'courthouse'), 0.10416666666666667)
(('bar', 'fire_station'), 0.10416666666666667)
(('cafe', 'university'), 0.1038961038961039)
(('cafe', 'courthouse'), 0.1038961038961039)
(('theatre', 'events_venue'), 0.10344827586206896)
(('public_bookcase', 'theatre'), 0.10344827586206896)
(('fast_food', 'dentist'), 0.1032258064516129)
(('bench', 'shelter'), 0.10218978102189781)
(('bicycle_rental', 'shelter'), 0.10218978102189781)
(('cafe', 'library'), 0.10204081632653061)
(('library', 'public_building'), 0.10204081632653061)
(('bicycle_repair_station', 'library'), 0.10204081632653061)
(('toilets', 'vending_machine'), 0.10204081632653061)
(('library', 'fountain'), 0.10204081632653061)
(('bbq', 'toilets'), 0.10204081632653061)
(('bench', 'atm'), 0.10077519379844961)
(('bench', 'fountain'), 0.10077519379844961)
(('bus_station', 'car_wash'), 0.1)
(('cinema', 'car_wash'), 0.1)
(('bus_station', 'cinema'), 0.1)
(('nightclub', 'doctors'), 0.1)
(('parking_entrance', 'post_box'), 0.1)
(('studio', 'bus_station'), 0.1)
(('cinema', 'planetarium'), 0.1)
(('parking_entrance', 'pub'), 0.1)
(('post_box', 'post_box'), 0.1)
(('studio', 'childcare'), 0.1)
(('arts_centre', 'pub'), 0.1)
(('doctors', 'dentist'), 0.1)
(('veterinary', 'studio'), 0.1)
(('townhall', 'bank'), 0.09836065573770492)
(('bank', 'doctors'), 0.09836065573770492)
(('bank', 'ice_cream'), 0.09836065573770492)
(('post_box', 'bicycle_parking'), 0.09836065573770492)
(('theatre', 'bank'), 0.09836065573770492)
(('bicycle_parking', 'yes'), 0.09836065573770492)
(('bench', 'parking'), 0.09826224328593997)
(('restaurant', 'clinic'), 0.0975)
(('pub', 'fast_food'), 0.0967741935483871)
(('theatre', 'parking'), 0.09541864139020537)
(('vending_machine', 'bar'), 0.09375)
(('pub', 'parking'), 0.09352290679304898)
(('fast_food', 'place_of_worship'), 0.09266409266409266)
(('fire_station', 'clinic'), 0.09259259259259259)
(('post_office', 'courthouse'), 0.09090909090909091)
(('nightclub', 'veterinary'), 0.09090909090909091)
(('veterinary', 'ice_cream'), 0.09090909090909091)
(('bicycle_rental', 'clinic'), 0.09090909090909091)
(('atm', 'bicycle_rental'), 0.09090909090909091)
(('parking_entrance', 'bicycle_rental'), 0.09090909090909091)
(('bicycle_rental', 'bus_station'), 0.09090909090909091)
(('cafe', 'arts_centre'), 0.09090909090909091)
(('ice_cream', 'events_venue'), 0.09090909090909091)
(('ice_cream', 'atm'), 0.09090909090909091)
(('events_venue', 'nightclub'), 0.09090909090909091)
(('atm', 'nightclub'), 0.09090909090909091)
(('cafe', 'picnic_area'), 0.09090909090909091)
(('parking_entrance', 'cafe'), 0.09090909090909091)
(('nightclub', 'bus_station'), 0.09090909090909091)
(('picnic_area', 'ice_cream'), 0.09090909090909091)
(('public_bookcase', 'ice_cream'), 0.09090909090909091)
(('yes', 'ice_cream'), 0.09090909090909091)
(('nightclub', 'public_bookcase'), 0.09090909090909091)
(('nightclub', 'casino'), 0.09090909090909091)
(('ice_cream', 'casino'), 0.09090909090909091)
(('ice_cream', 'prison'), 0.09090909090909091)
(('ice_cream', 'marketplace'), 0.09090909090909091)
(('ice_cream', 'bbq'), 0.09090909090909091)
(('dojo', 'post_office'), 0.09090909090909091)
(('dojo', 'ice_cream'), 0.09090909090909091)
(('arts_centre', 'post_office'), 0.09090909090909091)
(('arts_centre', 'ice_cream'), 0.09090909090909091)
(('post_office', 'vending_machine'), 0.09090909090909091)
(('post_office', 'post_office'), 0.09090909090909091)
(('post_office', 'pub'), 0.09090909090909091)
(('public_building', 'university'), 0.09090909090909091)
(('donuts', 'ice_cream'), 0.09090909090909091)
(('clinic', 'fast_food'), 0.09032258064516129)
(('bench', 'restaurant'), 0.09)
(('restaurant', 'toilets'), 0.0875)
(('public_bookcase', 'restaurant'), 0.0875)
(('bench', 'post_box'), 0.08527131782945736)
(('drinking_water', 'bench'), 0.08527131782945736)
(('bicycle_repair_station', 'bench'), 0.08527131782945736)
(('car_wash', 'fast_food'), 0.08387096774193549)
(('arts_centre', 'courthouse'), 0.08333333333333333)
(('townhall', 'bar'), 0.08333333333333333)
(('nightclub', 'clinic'), 0.08333333333333333)
(('bar', 'bench'), 0.08333333333333333)
(('clinic', 'ice_cream'), 0.08333333333333333)
(('bar', 'parking_entrance'), 0.08333333333333333)
(('fountain', 'courthouse'), 0.08333333333333333)
(('deloitte', 'courthouse'), 0.08333333333333333)
(('picnic_area', 'courthouse'), 0.08333333333333333)
(('public_bookcase', 'courthouse'), 0.08333333333333333)
(('ice_cream', 'courthouse'), 0.08333333333333333)
(('bar', 'dojo'), 0.08333333333333333)
(('dentist', 'courthouse'), 0.08333333333333333)
(('nightclub', 'courthouse'), 0.08333333333333333)
(('vending_machine', 'courthouse'), 0.08333333333333333)
