Duration: 14869 s 
Number of collocations: 1794
(('parking_space', 'parking_space'), 0.6794582392776524)
(('grit_bin', 'grit_bin'), 0.5)
(('waste_basket', 'waste_basket'), 0.3668590272052762)
(('restaurant', 'restaurant'), 0.36049382716049383)
(('cafe', 'cafe'), 0.3552271483305966)
(('bench', 'bench'), 0.3376082077588971)
(('restaurant', 'cafe'), 0.3262178434592228)
(('bicycle_parking', 'bicycle_parking'), 0.3203592814371258)
(('fast_food', 'fast_food'), 0.31634819532908703)
(('drinking_water', 'drinking_water'), 0.2972972972972973)
(('waste_basket', 'bench'), 0.2613016992625842)
(('vending_machine', 'cafe'), 0.2512315270935961)
(('bank', 'cafe'), 0.24575807334428024)
(('restaurant', 'vending_machine'), 0.24567901234567902)
(('bank', 'restaurant'), 0.24444444444444444)
(('bank', 'bank'), 0.22485207100591717)
(('pharmacy', 'cafe'), 0.22112753147235906)
(('fountain', 'fountain'), 0.21287128712871287)
(('bicycle_parking', 'bicycle_rental'), 0.2125748502994012)
(('bicycle_parking', 'bench'), 0.21224751522924015)
(('restaurant', 'bicycle_parking'), 0.21049382716049383)
(('fast_food', 'cafe'), 0.20963327859879585)
(('fast_food', 'bicycle_parking'), 0.2091295116772824)
(('restaurant', 'fast_food'), 0.20555555555555555)
(('pharmacy', 'restaurant'), 0.20159453302961275)
(('cafe', 'bicycle_parking'), 0.19813902572523262)
(('pharmacy', 'bank'), 0.1970387243735763)
(('bar', 'bar'), 0.19672131147540983)
(('vending_machine', 'vending_machine'), 0.19358288770053475)
(('telephone', 'telephone'), 0.19298245614035087)
(('parking', 'parking'), 0.19111285882815574)
(('toilets', 'toilets'), 0.18717948717948718)
(('fast_food', 'toilets'), 0.18471337579617833)
(('fast_food', 'atm'), 0.18424962852897475)
(('restaurant', 'atm'), 0.18333333333333332)
(('pharmacy', 'pharmacy'), 0.18109339407744876)
(('vending_machine', 'bank'), 0.1754010695187166)
(('atm', 'cafe'), 0.17515051997810618)
(('restaurant', 'bicycle_rental'), 0.17469135802469135)
(('pub', 'pub'), 0.17408906882591094)
(('fast_food', 'bank'), 0.16666666666666666)
(('atm', 'bank'), 0.16370808678500987)
(('atm', 'atm'), 0.16344725111441308)
(('cafe', 'bicycle_rental'), 0.1620142309797482)
(('vending_machine', 'bicycle_parking'), 0.16042780748663102)
(('bicycle_rental', 'toilets'), 0.16)
(('pharmacy', 'fast_food'), 0.15831435079726652)
(('cafe', 'bench'), 0.15818281335522716)
(('atm', 'bicycle_parking'), 0.1575037147102526)
(('vending_machine', 'pharmacy'), 0.15401069518716579)
(('restaurant', 'bench'), 0.15123456790123457)
(('bank', 'bicycle_parking'), 0.15088757396449703)
(('vending_machine', 'fast_food'), 0.15080213903743314)
(('bench', 'vending_machine'), 0.1497326203208556)
(('bicycle_parking', 'waste_basket'), 0.1497005988023952)
(('restaurant', 'bar'), 0.145679012345679)
(('bicycle_rental', 'bench'), 0.14555947419044565)
(('pub', 'bar'), 0.14426229508196722)
(('fast_food', 'bicycle_rental'), 0.14118895966029724)
(('fast_food', 'bench'), 0.14075024046168644)
(('toilets', 'bicycle_parking'), 0.1407185628742515)
(('bureau_de_change', 'bureau_de_change'), 0.13978494623655913)
(('bar', 'bicycle_parking'), 0.13922155688622753)
(('atm', 'pharmacy'), 0.13895216400911162)
(('pub', 'cafe'), 0.13628899835796388)
(('bank', 'bicycle_rental'), 0.13609467455621302)
(('waste_disposal', 'waste_disposal'), 0.13580246913580246)
(('parking', 'cafe'), 0.1301612268973653)
(('waste_basket', 'bicycle_rental'), 0.13)
(('toilets', 'cafe'), 0.12753147235905857)
(('bar', 'cafe'), 0.12753147235905857)
(('waste_basket', 'toilets'), 0.12564102564102564)
(('bicycle_rental', 'vending_machine'), 0.12513368983957218)
(('restaurant', 'toilets'), 0.12469135802469136)
(('pharmacy', 'bicycle_parking'), 0.12414578587699317)
(('toilets', 'bench'), 0.12343699903815325)
(('vending_machine', 'atm'), 0.12299465240641712)
(('payment_terminal', 'payment_terminal'), 0.1206896551724138)
(('bank', 'bench'), 0.1203155818540434)
(('pub', 'bicycle_parking'), 0.11826347305389222)
(('toilets', 'atm'), 0.11589895988112928)
(('bureau_de_change', 'telephone'), 0.11403508771929824)
(('pharmacy', 'bicycle_rental'), 0.11275626423690205)
(('pub', 'restaurant'), 0.1117283950617284)
(('coworking_space', 'kick-scooter_rental'), 0.1111111111111111)
(('public_building', 'love_hotel'), 0.1111111111111111)
(('pub', 'bicycle_rental'), 0.11)
(('place_of_worship', 'place_of_worship'), 0.1095890410958904)
(('clinic', 'cafe'), 0.10946907498631636)
(('restaurant', 'clinic'), 0.10925925925925926)
(('atm', 'bench'), 0.10676498877845464)
(('waste_basket', 'fast_food'), 0.10615711252653928)
(('pharmacy', 'bench'), 0.10548252645078551)
(('theatre', 'theatre'), 0.10240963855421686)
(('telephone', 'fast_food'), 0.10191082802547771)
(('fast_food', 'bar'), 0.10191082802547771)
(('parking', 'restaurant'), 0.10184821077467558)
(('vending_machine', 'clinic'), 0.10053475935828877)
(('clinic', 'bicycle_parking'), 0.0998003992015968)
(('vending_machine', 'toilets'), 0.09732620320855614)
(('clinic', 'bank'), 0.09664694280078895)
(('bicycle_rental', 'atm'), 0.09658246656760773)
(('telephone', 'bicycle_parking'), 0.09580838323353294)
(('waste_disposal', 'cafe'), 0.09414340448823208)
(('pub', 'fast_food'), 0.09341825902335456)
(('pharmacy', 'toilets'), 0.09339407744874716)
(('bar', 'bicycle_rental'), 0.09333333333333334)
(('dentist', 'bicycle_parking'), 0.09117647058823529)
(('clinic', 'pharmacy'), 0.09111617312072894)
(('waste_basket', 'vending_machine'), 0.08983957219251337)
(('parking_entrance', 'parking_entrance'), 0.08839779005524862)
(('nightclub', 'nightclub'), 0.08771929824561403)
(('bank', 'parking'), 0.08769170271333071)
(('toilets', 'place_of_worship'), 0.08717948717948718)
(('cafe', 'dentist'), 0.08702791461412152)
(('arts_centre', 'arts_centre'), 0.08695652173913043)
(('parking', 'vending_machine'), 0.08611875737318128)
(('waste_basket', 'cafe'), 0.08538587848932677)
(('pub', 'toilets'), 0.08461538461538462)
(('clinic', 'clinic'), 0.08383233532934131)
(('bank', 'pub'), 0.08284023668639054)
(('dentist', 'bicycle_rental'), 0.08235294117647059)
(('place_of_worship', 'restaurant'), 0.08209876543209876)
(('telephone', 'toilets'), 0.08205128205128205)
(('waste_disposal', 'bench'), 0.08072174738841406)
(('telephone', 'bicycle_rental'), 0.08)
(('language_school', 'device_charging_station'), 0.08)
(('pub', 'pharmacy'), 0.07972665148063782)
(('bar', 'toilets'), 0.07948717948717948)
(('fountain', 'theatre'), 0.0783132530120482)
(('parking', 'pharmacy'), 0.07825403067243414)
(('toilets', 'bank'), 0.07692307692307693)
(('restaurant', 'waste_basket'), 0.07654320987654321)
(('bar', 'pharmacy'), 0.07630979498861047)
(('bank', 'bar'), 0.07593688362919132)
(('nightclub', 'bureau_de_change'), 0.07526881720430108)
(('telephone', 'pub'), 0.0728744939271255)
(('vending_machine', 'bar'), 0.07272727272727272)
(('dentist', 'fast_food'), 0.07218683651804671)
(('telephone', 'bar'), 0.07213114754098361)
(('bar', 'bench'), 0.07181789034947099)
(('atm', 'clinic'), 0.0713224368499257)
(('bank', 'dentist'), 0.07100591715976332)
(('dentist', 'restaurant'), 0.07098765432098765)
(('telephone', 'cafe'), 0.07060755336617405)
(('pub', 'vending_machine'), 0.07058823529411765)
(('payment_terminal', 'telephone'), 0.07017543859649122)
(('cafe', 'place_of_worship'), 0.06951286261631089)
(('toilets', 'fountain'), 0.06923076923076923)
(('bar', 'parking_entrance'), 0.06906077348066299)
(('fast_food', 'place_of_worship'), 0.06900212314225053)
(('ice_cream', 'ice_cream'), 0.06896551724137931)
(('public_service', 'public_service'), 0.06896551724137931)
(('embassy', 'embassy'), 0.06896551724137931)
(('marketplace', 'marketplace'), 0.06896551724137931)
(('taxi', 'public_service'), 0.06896551724137931)
(('bureau_de_change', 'bar'), 0.06885245901639345)
(('bicycle_rental', 'place_of_worship'), 0.0684931506849315)
(('pub', 'atm'), 0.06835066864784546)
(('parking_entrance', 'bench'), 0.06829111894838089)
(('waste_basket', 'bar'), 0.06760098928276999)
(('dentist', 'pharmacy'), 0.06719817767653759)
(('clinic', 'fast_food'), 0.06687898089171974)
(('atm', 'parking'), 0.06685017695635077)
(('post_office', 'bicycle_rental'), 0.06666666666666667)
(('restaurant', 'waste_disposal'), 0.06647673314339982)
(('bicycle_parking', 'parking_entrance'), 0.0658682634730539)
(('place_of_worship', 'bicycle_parking'), 0.0658682634730539)
(('bureau_de_change', 'fast_food'), 0.06581740976645435)
(('clinic', 'bench'), 0.06572619429304265)
(('fast_food', 'parking'), 0.06527723161620133)
(('parking', 'waste_disposal'), 0.06527723161620133)
(('bureau_de_change', 'restaurant'), 0.06419753086419754)
(('restaurant', 'fountain'), 0.06419753086419754)
(('parking', 'bench'), 0.06409752261108927)
(('telephone', 'atm'), 0.0638930163447251)
(('atm', 'bar'), 0.0638930163447251)
(('pub', 'clinic'), 0.06387225548902195)
(('parking_entrance', 'cafe'), 0.06349206349206349)
(('bicycle_rental', 'bureau_de_change'), 0.06333333333333334)
(('bar', 'place_of_worship'), 0.06301369863013699)
(('payment_terminal', 'bicycle_parking'), 0.06287425149700598)
(('fuel', 'car_wash'), 0.06278026905829596)
(('waste_disposal', 'vending_machine'), 0.06267806267806268)
(('food_court', 'photo_lab'), 0.0625)
(('bar', 'theatre'), 0.06229508196721312)
(('clinic', 'bicycle_rental'), 0.06187624750499002)
(('theatre', 'restaurant'), 0.06172839506172839)
(('telephone', 'post_box'), 0.06140350877192982)
(('parking', 'bicycle_parking'), 0.06134486826582776)
(('bank', 'waste_disposal'), 0.060778727445394115)
(('parking_entrance', 'waste_basket'), 0.06077348066298342)
(('bicycle_rental', 'bicycle_rental'), 0.06)
(('vending_machine', 'dentist'), 0.059893048128342244)
(('waste_disposal', 'pharmacy'), 0.05982905982905983)
(('community_centre', 'community_centre'), 0.05970149253731343)
(('pub', 'fountain'), 0.0594059405940594)
(('dentist', 'bar'), 0.058823529411764705)
(('restaurant', 'telephone'), 0.05864197530864197)
(('pharmacy', 'telephone'), 0.05808656036446469)
(('pharmacy', 'waste_basket'), 0.05694760820045558)
(('pub', 'post_office'), 0.05668016194331984)
(('pub', 'theatre'), 0.05668016194331984)
(('parking', 'bicycle_rental'), 0.05662603224537947)
(('fast_food', 'fountain'), 0.05626326963906582)
(('restaurant', 'parking_entrance'), 0.05617283950617284)
(('clinic', 'toilets'), 0.05588822355289421)
(('bench', 'fountain'), 0.05482526450785508)
(('place_of_worship', 'pub'), 0.0547945205479452)
(('vending_machine', 'telephone'), 0.05454545454545454)
(('bureau_de_change', 'cafe'), 0.054187192118226604)
(('drinking_water', 'ice_cream'), 0.05405405405405406)
(('fire_station', 'fire_station'), 0.05405405405405406)
(('theatre', 'bicycle_parking'), 0.05389221556886228)
(('clinic', 'waste_basket'), 0.05358615004122012)
(('place_of_worship', 'vending_machine'), 0.053475935828877004)
(('theatre', 'bicycle_rental'), 0.05333333333333334)
(('university', 'university'), 0.05327868852459016)
(('payment_terminal', 'post_box'), 0.05319148936170213)
(('post_box', 'bureau_de_change'), 0.05319148936170213)
(('telephone', 'taxi'), 0.05263157894736842)
(('charging_station', 'clock'), 0.05263157894736842)
(('pub', 'bureau_de_change'), 0.05263157894736842)
(('pub', 'embassy'), 0.05263157894736842)
(('taxi', 'device_charging_station'), 0.05263157894736842)
(('coworking_space', 'taxi'), 0.05263157894736842)
(('bureau_de_change', 'bicycle_parking'), 0.05239520958083832)
(('bicycle_parking', 'fountain'), 0.05239520958083832)
(('bank', 'place_of_worship'), 0.05226824457593689)
(('clinic', 'bar'), 0.05189620758483034)
(('taxi', 'payment_terminal'), 0.05172413793103448)
(('theatre', 'cafe'), 0.051450465243568694)
(('toilets', 'theatre'), 0.05128205128205128)
(('waste_basket', 'bank'), 0.05128205128205128)
(('toilets', 'bureau_de_change'), 0.05128205128205128)
(('atm', 'dentist'), 0.05052005943536404)
(('toilets', 'parking_entrance'), 0.049723756906077346)
(('fountain', 'cafe'), 0.04926108374384237)
(('bar', 'fountain'), 0.04918032786885246)
(('dentist', 'bench'), 0.04905418403334402)
(('waste_basket', 'atm'), 0.04903417533432392)
(('bench', 'telephone'), 0.04841295286950946)
(('embassy', 'arts_centre'), 0.04827586206896552)
(('telephone', 'theatre'), 0.04819277108433735)
(('dentist', 'waste_basket'), 0.047058823529411764)
(('dentist', 'dentist'), 0.047058823529411764)
(('dentist', 'pub'), 0.047058823529411764)
(('waste_basket', 'telephone'), 0.04699093157460841)
(('place_of_worship', 'pharmacy'), 0.04669703872437358)
(('waste_disposal', 'waste_basket'), 0.04653371320037987)
(('theatre', 'bench'), 0.04648925937800577)
(('atm', 'bureau_de_change'), 0.04606240713224369)
(('bar', 'embassy'), 0.04590163934426229)
(('bar', 'post_box'), 0.04590163934426229)
(('fast_food', 'parking_entrance'), 0.045647558386411886)
(('waste_disposal', 'bicycle_parking'), 0.045584045584045586)
(('stripclub', 'food_court'), 0.045454545454545456)
(('post_office', 'restaurant'), 0.04506172839506173)
(('post_office', 'cafe'), 0.04488232074438971)
(('atm', 'parking_entrance'), 0.04457652303120357)
(('telephone', 'fountain'), 0.04455445544554455)
(('social_facility', 'social_facility'), 0.044444444444444446)
(('veterinary', 'veterinary'), 0.044444444444444446)
(('clinic', 'telephone'), 0.043912175648702596)
(('telephone', 'drinking_water'), 0.043859649122807015)
(('clock', 'telephone'), 0.043859649122807015)
(('theatre', 'fast_food'), 0.0435244161358811)
(('bureau_de_change', 'bank'), 0.04339250493096647)
(('post_box', 'bicycle_rental'), 0.043333333333333335)
(('language_school', 'bureau_de_change'), 0.043010752688172046)
