Duration: 799 s 

Number of collocations: 2297

(('feeding_place', 'feeding_place'), 1)
(('outpost', 'outpost'), 1)
(('car_sharing', 'car_sharing'), 1)
(('dressing_room', 'dressing_room'), 1)
(('parking_space', 'parking_space'), 1)
(('bench', 'bench'), 0.96344982366143)
(('waste_basket', 'waste_basket'), 0.9175597691673537)
(('cafe', 'cafe'), 0.6546250684181719)
(('restaurant', 'restaurant'), 0.654320987654321)
(('fast_food', 'fast_food'), 0.6539278131634819)
(('shower', 'shower'), 0.6)
(('restaurant', 'cafe'), 0.5752599890530925)
(('parking', 'parking'), 0.5631144317734958)
(('bench', 'waste_basket'), 0.5383135620391151)
(('shelter', 'shelter'), 0.5210084033613446)
(('bank', 'bank'), 0.5157790927021696)
(('embassy', 'embassy'), 0.5103448275862069)
(('parking_entrance', 'parking_entrance'), 0.505524861878453)
(('bicycle_parking', 'bicycle_parking'), 0.5)
(('boat_rental', 'boat_rental'), 0.5)
(('atm', 'atm'), 0.4947994056463596)
(('bar', 'bar'), 0.4524590163934426)
(('waste_disposal', 'waste_disposal'), 0.39411206077872746)
(('fast_food', 'cafe'), 0.39025725232621783)
(('bank', 'cafe'), 0.38752052545155996)
(('cafe', 'pharmacy'), 0.38587848932676516)
(('bank', 'restaurant'), 0.3851851851851852)
(('bank', 'pharmacy'), 0.37471526195899774)
(('place_of_worship', 'place_of_worship'), 0.3726027397260274)
(('bank', 'atm'), 0.3717948717948718)
(('pub', 'pub'), 0.3684210526315789)
(('pharmacy', 'pharmacy'), 0.357630979498861)
(('toilets', 'toilets'), 0.3487179487179487)
(('fountain', 'fountain'), 0.3415841584158416)
(('bar', 'pub'), 0.3344262295081967)
(('internet_cafe', 'kick-scooter_rental'), 0.3333333333333333)
(('smoking_area', 'smoking_area'), 0.3333333333333333)
(('sauna', 'sanatorium'), 0.3333333333333333)
(('drinking_water', 'drinking_water'), 0.32432432432432434)
(('fast_food', 'atm'), 0.32392273402674593)
(('fast_food', 'toilets'), 0.31634819532908703)
(('fast_food', 'pharmacy'), 0.3132118451025057)
(('pharmacy', 'restaurant'), 0.2975308641975309)
(('bicycle_parking', 'bench'), 0.2962487976915678)
(('restaurant', 'bicycle_parking'), 0.29444444444444445)
(('restaurant', 'fast_food'), 0.2919753086419753)
(('cafe', 'bicycle_parking'), 0.2895457033388068)
(('parking_space', 'culture_center'), 0.28893905191873587)
(('social_facility', 'social_facility'), 0.28888888888888886)
(('charging_station', 'charging_station'), 0.2857142857142857)
(('telephone', 'telephone'), 0.2807017543859649)
(('vending_machine', 'restaurant'), 0.27901234567901234)
(('restaurant', 'bar'), 0.26728395061728394)
(('vending_machine', 'cafe'), 0.26710454296661196)
(('atm', 'bicycle_parking'), 0.26448736998514116)
(('bench', 'waste_disposal'), 0.2630579297245964)
(('fast_food', 'bicycle_parking'), 0.25449101796407186)
(('cafe', 'atm'), 0.2534209085933224)
(('waste_disposal', 'parking'), 0.2504915454187967)
(('piano', 'motorcycle_parking'), 0.25)
(('sanatorium', 'dormitory'), 0.25)
(('theatre', 'theatre'), 0.2469879518072289)
(('cafe', 'parking'), 0.24655918206842312)
(('atm', 'pharmacy'), 0.244874715261959)
(('payment_terminal', 'payment_terminal'), 0.2413793103448276)
(('restaurant', 'atm'), 0.23641975308641974)
(('clinic', 'clinic'), 0.2315369261477046)
(('bicycle_rental', 'toilets'), 0.23076923076923078)
(('kindergarten', 'kindergarten'), 0.2286282306163022)
(('bicycle_parking', 'waste_basket'), 0.2275449101796407)
(('bank', 'vending_machine'), 0.22245989304812835)
(('smoking_area', 'car_sharing'), 0.2222222222222222)
(('fast_food', 'bank'), 0.22189349112426035)
(('bar', 'cafe'), 0.22167487684729065)
(('restaurant', 'parking'), 0.2162799842705466)
(('nightclub', 'nightclub'), 0.21052631578947367)
(('pharmacy', 'vending_machine'), 0.20641711229946524)
(('bench', 'restaurant'), 0.20493827160493827)
(('bench', 'cafe'), 0.20361247947454844)
(('shower', 'dressing_room'), 0.2)
(('waste_disposal', 'pharmacy'), 0.19753086419753085)
(('cafe', 'pub'), 0.1959496442255063)
(('bicycle_parking', 'bank'), 0.19230769230769232)
(('bicycle_rental', 'bicycle_parking'), 0.19011976047904192)
(('vending_machine', 'parking'), 0.18953991348800628)
(('restaurant', 'pub'), 0.18888888888888888)
(('waste_disposal', 'vending_machine'), 0.18716577540106952)
(('toilets', 'bicycle_parking'), 0.18413173652694612)
(('waste_disposal', 'restaurant'), 0.18395061728395062)
(('clinic', 'dentist'), 0.18363273453093812)
(('cafe', 'waste_disposal'), 0.1833607006020799)
(('studio', 'studio'), 0.18181818181818182)
(('townhall', 'townhall'), 0.18181818181818182)
(('vending_machine', 'bicycle_parking'), 0.18074866310160428)
(('fast_food', 'vending_machine'), 0.1786096256684492)
(('bench', 'fast_food'), 0.1762208067940552)
(('toilets', 'atm'), 0.17533432392273401)
(('vending_machine', 'atm'), 0.17326203208556148)
(('university', 'university'), 0.1721311475409836)
(('clinic', 'cafe'), 0.1718664477285167)
(('bank', 'parking'), 0.17066456940621313)
(('fast_food', 'bar'), 0.16985138004246284)
(('telephone', 'bureau_de_change'), 0.16666666666666666)
(('courthouse', 'courthouse'), 0.16666666666666666)
(('fuel', 'car_wash'), 0.16591928251121077)
(('waste_basket', 'toilets'), 0.16570486397361914)
(('bank', 'clinic'), 0.16568047337278108)
(('cafe', 'bicycle_rental'), 0.16529830322933772)
(('bicycle_parking', 'pharmacy'), 0.16514806378132119)
(('waste_disposal', 'bank'), 0.16429249762583095)
(('toilets', 'cafe'), 0.1625615763546798)
(('restaurant', 'clinic'), 0.16111111111111112)
(('school', 'school'), 0.16033755274261605)
(('bar', 'bicycle_parking'), 0.1601796407185629)
(('bank', 'bench'), 0.15877712031558186)
(('hookah_lounge', 'hookah_lounge'), 0.15873015873015872)
(('parking_entrance', 'restaurant'), 0.15864197530864196)
(('pharmacy', 'parking'), 0.15847424302005506)
(('toilets', 'bench'), 0.15838409746713691)
(('childcare', 'study'), 0.15789473684210525)
(('bench', 'parking'), 0.15768777034998033)
(('waste_disposal', 'waste_basket'), 0.157644824311491)
(('bench', 'pharmacy'), 0.15742225072138505)
(('fast_food', 'bicycle_rental'), 0.15711252653927812)
(('vending_machine', 'bench'), 0.15614973262032086)
(('vending_machine', 'vending_machine'), 0.15508021390374332)
(('waste_disposal', 'bicycle_parking'), 0.15479582146248813)
(('vending_machine', 'clinic'), 0.15080213903743314)
(('dentist', 'parking_entrance'), 0.15)
(('post_box', 'post_office'), 0.14838709677419354)
(('parking_entrance', 'cafe'), 0.1477832512315271)
(('fast_food', 'pub'), 0.1464968152866242)
(('waste_disposal', 'clinic'), 0.1452991452991453)
(('dentist', 'pharmacy'), 0.14236902050113895)
(('pharmacy', 'clinic'), 0.14236902050113895)
(('waste_disposal', 'kindergarten'), 0.14150047483380818)
(('bank', 'dentist'), 0.14102564102564102)
