Duration: 950 s 
Number of collocations: 3582
(('feeding_place', 'feeding_place'), 1)
(('outpost', 'outpost'), 1)
(('car_sharing', 'car_sharing'), 1)
(('dressing_room', 'dressing_room'), 1)
(('parking_space', 'parking_space'), 1)
(('bench', 'bench'), 0.9804424495030458)
(('waste_basket', 'waste_basket'), 0.957131079967024)
(('parking_space', 'culture_center'), 0.9435665914221218)
(('parking', 'parking'), 0.9111285882815572)
(('restaurant', 'restaurant'), 0.9061728395061729)
(('cafe', 'cafe'), 0.9036672140120416)
(('waste_disposal', 'waste_disposal'), 0.855650522317189)
(('fast_food', 'fast_food'), 0.8397027600849257)
(('bank', 'bank'), 0.8372781065088757)
(('cafe', 'restaurant'), 0.8292282430213465)
(('bank', 'restaurant'), 0.8049382716049382)
(('parking_entrance', 'parking_entrance'), 0.8038674033149171)
(('bicycle_parking', 'bicycle_parking'), 0.7994011976047904)
(('pharmacy', 'pharmacy'), 0.7733485193621867)
(('atm', 'atm'), 0.7726597325408618)
(('vending_machine', 'cafe'), 0.7593582887700535)
(('dormitory', 'dormitory'), 0.75)
(('cafe', 'bank'), 0.7498631636562672)
(('cafe', 'pharmacy'), 0.7345374931581828)
(('bank', 'pharmacy'), 0.7334851936218679)
(('waste_basket', 'bench'), 0.7329272202629048)
(('embassy', 'embassy'), 0.7241379310344828)
(('bank', 'atm'), 0.7011834319526628)
(('fast_food', 'cafe'), 0.7006020799124247)
(('restaurant', 'vending_machine'), 0.7005347593582888)
(('restaurant', 'pharmacy'), 0.6902050113895216)
(('toilets', 'toilets'), 0.676923076923077)
(('bar', 'bar'), 0.6688524590163935)
(('restaurant', 'atm'), 0.6666666666666666)
(('internet_cafe', 'internet_cafe'), 0.6666666666666666)
(('vending_machine', 'vending_machine'), 0.6556149732620321)
(('cafe', 'atm'), 0.6518883415435139)
(('pub', 'bar'), 0.6459016393442623)
(('pub', 'pub'), 0.6437246963562753)
(('fast_food', 'atm'), 0.6419019316493314)
(('bank', 'vending_machine'), 0.6342245989304813)
(('restaurant', 'bicycle_parking'), 0.6333333333333333)
(('cafe', 'parking'), 0.6331104994101455)
(('bicycle_parking', 'bench'), 0.6296890028855402)
(('waste_disposal', 'pharmacy'), 0.621867881548975)
(('drinking_water', 'drinking_water'), 0.6216216216216216)
(('restaurant', 'fast_food'), 0.6216049382716049)
(('clinic', 'clinic'), 0.6207584830339321)
(('bench', 'waste_disposal'), 0.6182336182336182)
(('fast_food', 'pharmacy'), 0.6150341685649203)
(('smoking_area', 'smoking_area'), 0.6111111111111112)
(('waste_disposal', 'cafe'), 0.6108374384236454)
(('pharmacy', 'vending_machine'), 0.6032085561497326)
(('cafe', 'bicycle_parking'), 0.6015325670498084)
(('restaurant', 'bench'), 0.6006172839506173)
(('place_of_worship', 'place_of_worship'), 0.6)
(('shower', 'shower'), 0.6)
(('fast_food', 'bicycle_parking'), 0.5976645435244161)
(('atm', 'bicycle_parking'), 0.5973254086181278)
(('fast_food', 'toilets'), 0.5944798301486199)
(('bank', 'fast_food'), 0.5887573964497042)
(('shelter', 'shelter'), 0.5882352941176471)
(('atm', 'pharmacy'), 0.5876993166287016)
(('kindergarten', 'kindergarten'), 0.584493041749503)
(('waste_disposal', 'vending_machine'), 0.5807486631016042)
(('bank', 'clinic'), 0.5788954635108481)
(('waste_disposal', 'parking'), 0.5788438851749902)
(('cafe', 'bench'), 0.5774493705528189)
(('vending_machine', 'parking'), 0.570979158474243)
(('telephone', 'telephone'), 0.5701754385964912)
(('waste_disposal', 'restaurant'), 0.5688509021842355)
(('restaurant', 'clinic'), 0.567283950617284)
(('pharmacy', 'parking'), 0.5583955957530475)
(('restaurant', 'bicycle_rental'), 0.554320987654321)
(('bank', 'bicycle_parking'), 0.5483234714003945)
(('bicycle_rental', 'bicycle_parking'), 0.5466666666666666)
(('bank', 'waste_disposal'), 0.5375118708452041)
(('clinic', 'cafe'), 0.5363984674329502)
(('theatre', 'theatre'), 0.536144578313253)
(('restaurant', 'bar'), 0.5333333333333333)
(('restaurant', 'parking'), 0.5328352339756194)
(('waste_disposal', 'clinic'), 0.5251661918328585)
(('school', 'kindergarten'), 0.5189873417721519)
(('bicycle_parking', 'vending_machine'), 0.5176470588235295)
(('cafe', 'bicycle_rental'), 0.5172413793103449)
(('fast_food', 'vending_machine'), 0.5101604278074866)
(('school', 'waste_disposal'), 0.50997150997151)
(('vending_machine', 'clinic'), 0.509090909090909)
(('bank', 'bicycle_rental'), 0.5039447731755424)
(('dentist', 'clinic'), 0.5029940119760479)
(('bench', 'bank'), 0.5019723865877712)
(('bicycle_parking', 'clinic'), 0.500998003992016)
(('dentist', 'dentist'), 0.5)
(('grit_bin', 'grit_bin'), 0.5)
(('boat_rental', 'boat_rental'), 0.5)
(('outpost', 'translator'), 0.5)
(('internet_cafe', 'kick-scooter_rental'), 0.5)
(('events_venue', 'pet'), 0.5)
(('sanatorium', 'dormitory'), 0.5)
(('atm', 'vending_machine'), 0.4983957219251337)
(('bench', 'vending_machine'), 0.49625668449197863)
(('bank', 'parking'), 0.4935116004718836)
(('toilets', 'bench'), 0.49118307149727475)
(('fountain', 'fountain'), 0.4900990099009901)
(('pharmacy', 'clinic'), 0.489749430523918)
(('bicycle_parking', 'parking_entrance'), 0.4880239520958084)
(('bicycle_parking', 'pharmacy'), 0.4874715261958998)
(('waste_disposal', 'kindergarten'), 0.4862298195631529)
(('bicycle_rental', 'bench'), 0.48477075985892915)
(('restaurant', 'pub'), 0.48271604938271606)
(('fast_food', 'bench'), 0.47983014861995754)
(('parking_entrance', 'restaurant'), 0.4783950617283951)
(('pharmacy', 'bench'), 0.4783599088838269)
(('atm', 'clinic'), 0.4769687964338782)
(('bank', 'dentist'), 0.4714003944773176)
(('dentist', 'restaurant'), 0.46728395061728395)
(('charging_station', 'charging_station'), 0.4642857142857143)
(('cafe', 'dentist'), 0.45867542419266555)
(('toilets', 'bicycle_parking'), 0.4565868263473054)
(('school', 'bank'), 0.4556213017751479)
(('bicycle_parking', 'dentist'), 0.4550898203592814)
(('cafe', 'bar'), 0.45320197044334976)
(('bench', 'parking'), 0.4530082579630358)
(('bureau_de_change', 'bureau_de_change'), 0.45161290322580644)
(('fast_food', 'bicycle_rental'), 0.45116772823779194)
(('bicycle_parking', 'waste_basket'), 0.4491017964071856)
(('payment_terminal', 'payment_terminal'), 0.4482758620689655)
(('cafe', 'pub'), 0.44499178981937604)
(('dentist', 'waste_disposal'), 0.4444444444444444)
(('clinic', 'kindergarten'), 0.4433399602385686)
(('dentist', 'pharmacy'), 0.4430523917995444)
(('pharmacy', 'school'), 0.4407744874715262)
(('parking_entrance', 'cafe'), 0.43842364532019706)
(('restaurant', 'toilets'), 0.43580246913580245)
(('waste_disposal', 'bicycle_parking'), 0.4349477682811016)
(('bench', 'atm'), 0.4331516511702469)
(('pharmacy', 'kindergarten'), 0.4305239179954442)
