Duration: 9156 s 
Number of collocations: 1179
(('scrapyard', 'payment_terminal'), 1)
(('parking_space', 'parking_space'), 0.5078125)
(('language_school', 'language_school'), 0.5)
(('pub', 'pub'), 0.49019607843137253)
(('bank', 'bank'), 0.4805194805194805)
(('parking', 'parking'), 0.43633360858794384)
(('bicycle_parking', 'bicycle_parking'), 0.4241573033707865)
(('vending_machine', 'vending_machine'), 0.39790575916230364)
(('courthouse', 'courthouse'), 0.375)
(('restaurant', 'restaurant'), 0.3380281690140845)
(('studio', 'studio'), 0.3333333333333333)
(('bench', 'bench'), 0.3268229166666667)
(('fast_food', 'fast_food'), 0.3202614379084967)
(('cafe', 'cafe'), 0.3106060606060606)
(('bank', 'cafe'), 0.29545454545454547)
(('bank', 'fast_food'), 0.28104575163398693)
(('shelter', 'shelter'), 0.2805232558139535)
(('waste_disposal', 'waste_disposal'), 0.2630272952853598)
(('bicycle_parking', 'restaurant'), 0.2591549295774648)
(('recycling', 'recycling'), 0.25597269624573377)
(('bank', 'bureau_de_change'), 0.2532467532467532)
(('bar', 'nightclub'), 0.24)
(('taxi', 'taxi'), 0.23943661971830985)
(('cafe', 'restaurant'), 0.22253521126760564)
(('marketplace', 'marketplace'), 0.2222222222222222)
(('bank', 'taxi'), 0.22077922077922077)
(('waste_basket', 'waste_basket'), 0.2204724409448819)
(('bank', 'restaurant'), 0.21690140845070421)
(('restaurant', 'bicycle_rental'), 0.21690140845070421)
(('bicycle_parking', 'bank'), 0.21629213483146068)
(('bar', 'pub'), 0.21568627450980393)
(('bureau_de_change', 'theatre'), 0.20689655172413793)
(('bicycle_rental', 'taxi'), 0.20353982300884957)
(('arts_centre', 'language_school'), 0.2)
(('monastery', 'biergarten'), 0.2)
(('bicycle_parking', 'bicycle_rental'), 0.199438202247191)
(('bureau_de_change', 'fast_food'), 0.19607843137254902)
(('bar', 'bar'), 0.1875)
(('bicycle_parking', 'bench'), 0.18619791666666666)
(('parking_entrance', 'parking_entrance'), 0.18181818181818182)
(('fast_food', 'bicycle_parking'), 0.1797752808988764)
(('restaurant', 'atm'), 0.17735849056603772)
(('bank', 'bicycle_rental'), 0.17699115044247787)
(('fast_food', 'cafe'), 0.17424242424242425)
(('atm', 'atm'), 0.17358490566037735)
(('recycling', 'waste_disposal'), 0.17121588089330025)
(('shelter', 'bicycle_parking'), 0.1686046511627907)
(('studio', 'townhall'), 0.16666666666666666)
(('food_court', 'bbq'), 0.16666666666666666)
(('fast_food', 'atm'), 0.16226415094339622)
(('bank', 'atm'), 0.15849056603773584)
(('atm', 'bicycle_parking'), 0.15849056603773584)
(('restaurant', 'vending_machine'), 0.15774647887323945)
(('nightclub', 'pub'), 0.1568627450980392)
(('shelter', 'bicycle_rental'), 0.1555232558139535)
(('pharmacy', 'atm'), 0.15471698113207547)
(('ice_cream', 'beater'), 0.15384615384615385)
(('bureau_de_change', 'cafe'), 0.15151515151515152)
(('vending_machine', 'bicycle_rental'), 0.1504424778761062)
(('bench', 'restaurant'), 0.14973958333333334)
(('pub', 'bank'), 0.14935064935064934)
(('bar', 'embassy'), 0.14814814814814814)
(('shelter', 'atm'), 0.14680232558139536)
(('pharmacy', 'pharmacy'), 0.14678899082568808)
(('bank', 'vending_machine'), 0.14659685863874344)
(('fast_food', 'restaurant'), 0.14647887323943662)
(('bicycle_parking', 'taxi'), 0.14606741573033707)
(('cafe', 'bicycle_parking'), 0.14606741573033707)
(('parking', 'waste_disposal'), 0.14599504541701072)
(('bench', 'bicycle_rental'), 0.14583333333333334)
(('restaurant', 'pub'), 0.14366197183098592)
(('bicycle_rental', 'atm'), 0.14339622641509434)
(('metal_scrap', 'telephone'), 0.14285714285714285)
(('theatre', 'bank'), 0.14285714285714285)
(('bus_station', 'telephone'), 0.14285714285714285)
(('telephone', 'advertising'), 0.14285714285714285)
(('ferry_terminal', 'bbq'), 0.14285714285714285)
(('cafe', 'bicycle_rental'), 0.1415929203539823)
(('shelter', 'vending_machine'), 0.14098837209302326)
(('restaurant', 'shelter'), 0.14098837209302326)
(('bureau_de_change', 'taxi'), 0.14084507042253522)
(('atm', 'vending_machine'), 0.13962264150943396)
(('bureau_de_change', 'cinema'), 0.13793103448275862)
(('bureau_de_change', 'bureau_de_change'), 0.13793103448275862)
(('pharmacy', 'bank'), 0.13761467889908258)
(('embassy', 'pub'), 0.13725490196078433)
(('cafe', 'pub'), 0.13636363636363635)
(('taxi', 'vending_machine'), 0.13612565445026178)
(('vending_machine', 'fast_food'), 0.13612565445026178)
(('charging_station', 'charging_station'), 0.13333333333333333)
(('theatre', 'theatre'), 0.13333333333333333)
(('fast_food', 'bicycle_rental'), 0.13274336283185842)
(('vending_machine', 'cafe'), 0.13089005235602094)
(('fast_food', 'taxi'), 0.13071895424836602)
(('bank', 'embassy'), 0.12987012987012986)
(('taxi', 'cafe'), 0.1267605633802817)
(('shelter', 'taxi'), 0.125)
(('telephone', 'courthouse'), 0.125)
(('parking', 'bicycle_parking'), 0.12204789430222956)
(('pharmacy', 'restaurant'), 0.12112676056338029)
(('nightclub', 'nightclub'), 0.12)
(('pharmacy', 'bicycle_rental'), 0.11926605504587157)
(('restaurant', 'taxi'), 0.11830985915492957)
(('bicycle_parking', 'vending_machine'), 0.11797752808988764)
(('fast_food', 'embassy'), 0.11764705882352941)
(('bureau_de_change', 'bicycle_parking'), 0.1151685393258427)
(('toilets', 'bicycle_rental'), 0.11504424778761062)
(('shelter', 'bank'), 0.11482558139534883)
(('cafe', 'atm'), 0.11320754716981132)
(('parking', 'shelter'), 0.1129644921552436)
(('nightclub', 'embassy'), 0.1111111111111111)
(('fountain', 'fountain'), 0.1111111111111111)
(('fountain', 'bank'), 0.11038961038961038)
(('toilets', 'toilets'), 0.10666666666666667)
(('place_of_worship', 'restaurant'), 0.10569105691056911)
(('bank', 'place_of_worship'), 0.10569105691056911)
(('atm', 'taxi'), 0.10566037735849057)
(('bench', 'bank'), 0.10546875)
(('veterinary', 'veterinary'), 0.10526315789473684)
(('fast_food', 'pub'), 0.10457516339869281)
(('fuel', 'car_wash'), 0.10227272727272728)
(('pharmacy', 'fast_food'), 0.10091743119266056)
(('parking', 'restaurant'), 0.10008257638315442)
(('telephone', 'college'), 0.1)
(('courthouse', 'college'), 0.1)
(('bus_station', 'vacuum_cleaner'), 0.1)
(('shelter', 'bench'), 0.09883720930232558)
(('shelter', 'pharmacy'), 0.09883720930232558)
(('fountain', 'cafe'), 0.09848484848484848)
(('cafe', 'nightclub'), 0.09848484848484848)
(('bicycle_parking', 'pub'), 0.09831460674157304)
(('pub', 'bureau_de_change'), 0.09803921568627451)
(('nightclub', 'bank'), 0.09740259740259741)
(('bank', 'language_school'), 0.09740259740259741)
(('recycling', 'parking'), 0.0972749793559042)
(('parking', 'atm'), 0.0972749793559042)
(('bench', 'parking'), 0.09677952105697771)
(('pharmacy', 'vending_machine'), 0.0963302752293578)
(('fast_food', 'shelter'), 0.09593023255813954)
(('toilets', 'cafe'), 0.09333333333333334)
(('theatre', 'cafe'), 0.09090909090909091)
(('bureau_de_change', 'atm'), 0.09056603773584905)
(('atm', 'bench'), 0.09056603773584905)
(('restaurant', 'bureau_de_change'), 0.09014084507042254)
(('bicycle_parking', 'recycling'), 0.0898876404494382)
(('toilets', 'restaurant'), 0.08732394366197183)
(('toilets', 'fast_food'), 0.08496732026143791)
(('fast_food', 'university'), 0.08496732026143791)
(('theatre', 'fast_food'), 0.08496732026143791)
(('taxi', 'bar'), 0.08450704225352113)
(('waste_disposal', 'bench'), 0.08436724565756824)
(('bicycle_parking', 'waste_disposal'), 0.08436724565756824)
(('bicycle_parking', 'place_of_worship'), 0.08426966292134831)
(('bicycle_parking', 'toilets'), 0.08426966292134831)
(('fountain', 'clock'), 0.08333333333333333)
(('cinema', 'music_school'), 0.08333333333333333)
(('cinema', 'lombard_banking'), 0.08333333333333333)
(('theatre', 'cinema'), 0.08333333333333333)
(('ferry_terminal', 'social_facility'), 0.08333333333333333)
(('food_court', 'cinema'), 0.08333333333333333)
(('social_facility', 'bbq'), 0.08333333333333333)
(('pharmacy', 'bicycle_parking'), 0.08146067415730338)
(('bicycle_parking', 'embassy'), 0.08146067415730338)
(('bureau_de_change', 'bicycle_rental'), 0.07964601769911504)
(('parking_entrance', 'fast_food'), 0.07878787878787878)
(('bank', 'waste_basket'), 0.07874015748031496)
(('bureau_de_change', 'vending_machine'), 0.07853403141361257)
(('social_facility', 'pub'), 0.0784313725490196)
(('cafe', 'bench'), 0.078125)
(('pharmacy', 'bench'), 0.0779816513761468)
(('bureau_de_change', 'pharmacy'), 0.0779816513761468)
(('parking', 'bank'), 0.07712634186622626)
(('parking', 'pharmacy'), 0.07712634186622626)
(('police', 'police'), 0.07692307692307693)
(('arts_centre', 'ice_cream'), 0.07692307692307693)
(('ice_cream', 'language_school'), 0.07692307692307693)
(('ice_cream', 'monastery'), 0.07692307692307693)
(('ice_cream', 'biergarten'), 0.07692307692307693)
(('recycling', 'bench'), 0.07508532423208192)
(('parking', 'bicycle_rental'), 0.07448389760528489)
(('bench', 'fast_food'), 0.07421875)
(('embassy', 'bicycle_repair_station'), 0.07407407407407407)
(('embassy', 'ice_cream'), 0.07407407407407407)
(('embassy', 'language_school'), 0.07407407407407407)
(('embassy', 'embassy'), 0.07407407407407407)
(('embassy', 'clock'), 0.07407407407407407)
(('pharmacy', 'cafe'), 0.07339449541284404)
(('fountain', 'bicycle_parking'), 0.07303370786516854)
(('taxi', 'bench'), 0.07161458333333333)
(('library', 'bank'), 0.07142857142857142)
(('pub', 'bicycle_rental'), 0.07079646017699115)
(('taxi', 'fountain'), 0.07042253521126761)
(('restaurant', 'post_office'), 0.07042253521126761)
(('parking_space', 'taxi'), 0.07042253521126761)
(('school', 'pharmacy'), 0.06967213114754098)
(('bureau_de_change', 'lombard_banking'), 0.06896551724137931)
(('bureau_de_change', 'fountain'), 0.06896551724137931)
(('pharmacy', 'taxi'), 0.06880733944954129)
(('atm', 'place_of_worship'), 0.06792452830188679)
(('atm', 'waste_disposal'), 0.06792452830188679)
(('library', 'library'), 0.06779661016949153)
(('library', 'telephone'), 0.06779661016949153)
(('bench', 'fountain'), 0.06770833333333333)
(('bench', 'bureau_de_change'), 0.06770833333333333)
(('bicycle_parking', 'university'), 0.06741573033707865)
(('waste_disposal', 'shelter'), 0.06686046511627906)
(('toilets', 'bank'), 0.06666666666666667)
(('toilets', 'taxi'), 0.06666666666666667)
(('music_school', 'theatre'), 0.06666666666666667)
(('lombard_banking', 'theatre'), 0.06666666666666667)
(('theatre', 'parking_space'), 0.06666666666666667)
(('taxi', 'parking_entrance'), 0.06666666666666667)
(('bbq', 'clock'), 0.06666666666666667)
(('arts_centre', 'theatre'), 0.06666666666666667)
(('ice_cream', 'theatre'), 0.06666666666666667)
(('language_school', 'theatre'), 0.06666666666666667)
(('advertising', 'theatre'), 0.06666666666666667)
(('theatre', 'clock'), 0.06666666666666667)
(('library', 'clock'), 0.06666666666666667)
(('courthouse', 'clock'), 0.06666666666666667)
(('theatre', 'monastery'), 0.06666666666666667)
(('theatre', 'biergarten'), 0.06666666666666667)
(('clock', 'ice_cream'), 0.06666666666666667)
(('fast_food', 'cinema'), 0.06535947712418301)
(('bench', 'waste_basket'), 0.06510416666666667)
(('cafe', 'place_of_worship'), 0.06504065040650407)
(('bicycle_parking', 'parking_entrance'), 0.06460674157303371)
(('pharmacy', 'place_of_worship'), 0.06422018348623854)
(('taxi', 'waste_basket'), 0.06299212598425197)
(('vending_machine', 'bar'), 0.06282722513089005)
(('community_centre', 'community_centre'), 0.0625)
(('kindergarten', 'taxi'), 0.0625)
(('pharmacy', 'waste_disposal'), 0.062034739454094295)
(('nightclub', 'restaurant'), 0.061971830985915494)
(('library', 'bicycle_rental'), 0.061946902654867256)
(('bicycle_parking', 'theatre'), 0.06179775280898876)
(('vending_machine', 'parking_entrance'), 0.06060606060606061)
(('library', 'cafe'), 0.06060606060606061)
(('toilets', 'pharmacy'), 0.05963302752293578)
(('restaurant', 'embassy'), 0.059154929577464786)
(('restaurant', 'theatre'), 0.059154929577464786)
(('library', 'fast_food'), 0.058823529411764705)
(('pub', 'theatre'), 0.058823529411764705)
(('arts_centre', 'pub'), 0.058823529411764705)
(('fast_food', 'language_school'), 0.058823529411764705)
(('parking', 'taxi'), 0.0587943848059455)
(('bench', 'toilets'), 0.05859375)
(('dentist', 'bank'), 0.05844155844155844)
(('bank', 'cinema'), 0.05844155844155844)
(('hospital', 'vending_machine'), 0.05759162303664921)
(('place_of_worship', 'vending_machine'), 0.05759162303664921)
(('school', 'restaurant'), 0.05737704918032787)
(('parking', 'fast_food'), 0.05730800990916598)
(('fast_food', 'place_of_worship'), 0.056910569105691054)
(('taxi', 'place_of_worship'), 0.056910569105691054)
(('police', 'restaurant'), 0.056338028169014086)
(('taxi', 'pub'), 0.056338028169014086)
(('bicycle_parking', 'library'), 0.056179775280898875)
(('pub', 'fountain'), 0.05555555555555555)
(('telephone', 'marketplace'), 0.05555555555555555)
(('cinema', 'fountain'), 0.05555555555555555)
(('library', 'fountain'), 0.05555555555555555)
(('pharmacy', 'recycling'), 0.05460750853242321)
(('recycling', 'bank'), 0.05460750853242321)
(('recycling', 'bicycle_rental'), 0.05460750853242321)
(('waste_disposal', 'bicycle_rental'), 0.05459057071960298)
(('parking_entrance', 'cafe'), 0.05454545454545454)
(('parking', 'vending_machine'), 0.054500412881915775)
(('restaurant', 'bar'), 0.05352112676056338)
(('fountain', 'restaurant'), 0.05352112676056338)
(('vending_machine', 'bench'), 0.053385416666666664)
(('doctors', 'post_office'), 0.05333333333333334)
(('post_office', 'taxi'), 0.05333333333333334)
(('toilets', 'bureau_de_change'), 0.05333333333333334)
(('post_office', 'bicycle_rental'), 0.05309734513274336)
(('bicycle_rental', 'nightclub'), 0.05309734513274336)
(('post_office', 'cafe'), 0.05303030303030303)
(('cafe', 'embassy'), 0.05303030303030303)
(('public_building', 'cafe'), 0.05303030303030303)
(('parking_entrance', 'atm'), 0.052830188679245285)
(('veterinary', 'solarium'), 0.05263157894736842)
(('dentist', 'dentist'), 0.05263157894736842)
(('dentist', 'fountain'), 0.05263157894736842)
(('veterinary', 'clinic'), 0.05263157894736842)
(('toilets', 'vending_machine'), 0.05235602094240838)
(('waste_basket', 'vending_machine'), 0.05235602094240838)
(('fountain', 'fast_food'), 0.05228758169934641)
(('bank', 'bar'), 0.05194805194805195)
(('car_wash', 'car_wash'), 0.05128205128205128)
(('restaurant', 'university'), 0.05070422535211268)
(('school', 'school'), 0.04918032786885246)
(('toilets', 'atm'), 0.04905660377358491)
(('atm', 'pub'), 0.04905660377358491)
(('place_of_worship', 'place_of_worship'), 0.04878048780487805)
(('bar', 'public_building'), 0.04878048780487805)
(('public_building', 'public_building'), 0.04878048780487805)
(('place_of_worship', 'pub'), 0.04878048780487805)
(('embassy', 'public_building'), 0.04878048780487805)
(('parking_entrance', 'restaurant'), 0.048484848484848485)
(('bureau_de_change', 'shelter'), 0.04796511627906977)
(('kindergarten', 'recycling'), 0.04778156996587031)
(('bicycle_parking', 'public_building'), 0.047752808988764044)
(('bicycle_parking', 'clock'), 0.047752808988764044)
(('vending_machine', 'post_office'), 0.04712041884816754)
(('vending_machine', 'embassy'), 0.04712041884816754)
(('bench', 'doctors'), 0.046875)
(('pharmacy', 'post_office'), 0.045871559633027525)
(('pharmacy', 'dentist'), 0.045871559633027525)
(('fast_food', 'post_office'), 0.0457516339869281)
(('bar', 'fast_food'), 0.0457516339869281)
(('fast_food', 'clock'), 0.0457516339869281)
(('nightclub', 'fast_food'), 0.0457516339869281)
(('fast_food', 'public_building'), 0.0457516339869281)
(('clock', 'bank'), 0.045454545454545456)
(('bank', 'lombard_banking'), 0.045454545454545456)
(('cafe', 'parking_space'), 0.045454545454545456)
(('bank', 'arts_centre'), 0.045454545454545456)
(('cafe', 'language_school'), 0.045454545454545456)
(('recycling', 'atm'), 0.045283018867924525)
(('atm', 'fountain'), 0.045283018867924525)
(('school', 'bicycle_rental'), 0.045081967213114756)
(('shelter', 'waste_basket'), 0.04505813953488372)
(('shelter', 'cafe'), 0.04505813953488372)
(('fast_food', 'recycling'), 0.04436860068259386)
(('dentist', 'bicycle_rental'), 0.04424778761061947)
(('fountain', 'bicycle_rental'), 0.04424778761061947)
(('parking', 'cafe'), 0.043104872006606114)
(('parking_entrance', 'bank'), 0.04242424242424243)
(('taxi', 'cinema'), 0.04225352112676056)
(('embassy', 'taxi'), 0.04225352112676056)
(('taxi', 'veterinary'), 0.04225352112676056)
(('taxi', 'ice_cream'), 0.04225352112676056)
(('waste_disposal', 'bank'), 0.04218362282878412)
(('bicycle_parking', 'kindergarten'), 0.042134831460674156)
(('arts_centre', 'bicycle_parking'), 0.042134831460674156)
(('bicycle_parking', 'ice_cream'), 0.042134831460674156)
(('bicycle_parking', 'language_school'), 0.042134831460674156)
(('clock', 'atm'), 0.04150943396226415)
(('atm', 'embassy'), 0.04150943396226415)
(('school', 'bank'), 0.040983606557377046)
(('atm', 'school'), 0.040983606557377046)
(('shelter', 'pub'), 0.040697674418604654)
(('bench', 'place_of_worship'), 0.040364583333333336)
(('bench', 'library'), 0.040364583333333336)
(('parking', 'school'), 0.0402972749793559)
(('bank', 'post_office'), 0.04)
(('charging_station', 'toilets'), 0.04)
(('toilets', 'doctors'), 0.04)
(('bureau_de_change', 'post_office'), 0.04)
(('post_office', 'theatre'), 0.04)
(('nightclub', 'arts_centre'), 0.04)
(('nightclub', 'ice_cream'), 0.04)
(('social_facility', 'nightclub'), 0.04)
(('restaurant', 'library'), 0.03943661971830986)
(('waste_basket', 'bicycle_rental'), 0.03937007874015748)
(('waste_basket', 'post_office'), 0.03937007874015748)
(('bicycle_parking', 'doctors'), 0.03932584269662921)
(('waste_basket', 'bicycle_parking'), 0.03932584269662921)
(('shelter', 'school'), 0.03924418604651163)
(('fast_food', 'fuel'), 0.0392156862745098)
(('clock', 'pub'), 0.0392156862745098)
(('pub', 'drinking_water'), 0.0392156862745098)
(('kindergarten', 'kindergarten'), 0.0390625)
(('bank', 'public_building'), 0.03896103896103896)
(('police', 'food_court'), 0.038461538461538464)
(('police', 'pub'), 0.038461538461538464)
(('compressed_air', 'car_wash'), 0.038461538461538464)
(('bar', 'cafe'), 0.03787878787878788)
(('cafe', 'cinema'), 0.03787878787878788)
(('cafe', 'ice_cream'), 0.03787878787878788)
(('kindergarten', 'bench'), 0.037760416666666664)
(('atm', 'post_office'), 0.03773584905660377)
(('waste_basket', 'atm'), 0.03773584905660377)
(('waste_disposal', 'kindergarten'), 0.03722084367245657)
(('waste_disposal', 'taxi'), 0.03722084367245657)
(('restaurant', 'waste_disposal'), 0.03722084367245657)
(('studio', 'embassy'), 0.037037037037037035)
(('embassy', 'theatre'), 0.037037037037037035)
(('advertising', 'embassy'), 0.037037037037037035)
(('bicycle_parking', 'school'), 0.036885245901639344)
(('pharmacy', 'parking_entrance'), 0.03669724770642202)
(('hospital', 'pharmacy'), 0.03669724770642202)
(('vending_machine', 'kindergarten'), 0.03664921465968586)
(('vending_machine', 'fuel'), 0.03664921465968586)
(('pub', 'parking'), 0.03649876135425268)
(('theatre', 'bench'), 0.036458333333333336)
(('parking_entrance', 'bureau_de_change'), 0.03636363636363636)
(('cinema', 'parking_entrance'), 0.03636363636363636)
(('bench', 'parking_entrance'), 0.03636363636363636)
(('bicycle_rental', 'parking_entrance'), 0.03636363636363636)
(('shelter', 'place_of_worship'), 0.036337209302325583)
(('car_wash', 'bicycle_rental'), 0.035398230088495575)
(('kindergarten', 'bicycle_rental'), 0.035398230088495575)
(('bicycle_rental', 'clock'), 0.035398230088495575)
(('bicycle_rental', 'embassy'), 0.035398230088495575)
(('bicycle_rental', 'parking_space'), 0.035398230088495575)
(('ice_cream', 'bicycle_rental'), 0.035398230088495575)
(('parking', 'place_of_worship'), 0.03534269199009083)
(('university', 'vending_machine'), 0.03508771929824561)
(('university', 'university'), 0.03508771929824561)
(('toilets', 'shelter'), 0.03488372093023256)
(('waste_disposal', 'doctors'), 0.034739454094292806)
(('bicycle_repair_station', 'bureau_de_change'), 0.034482758620689655)
(('music_school', 'bureau_de_change'), 0.034482758620689655)
(('embassy', 'bureau_de_change'), 0.034482758620689655)
(('arts_centre', 'bureau_de_change'), 0.034482758620689655)
(('ice_cream', 'bureau_de_change'), 0.034482758620689655)
(('language_school', 'bureau_de_change'), 0.034482758620689655)
(('police', 'bureau_de_change'), 0.034482758620689655)
(('atm', 'fuel'), 0.033962264150943396)
(('atm', 'ice_cream'), 0.033962264150943396)
(('library', 'university'), 0.03389830508474576)
(('embassy', 'library'), 0.03389830508474576)
(('bench', 'parking_space'), 0.033854166666666664)
(('parking', 'bureau_de_change'), 0.03352601156069364)
(('shelter', 'bar'), 0.03343023255813953)
(('post_box', 'charging_station'), 0.03333333333333333)
(('bar', 'post_box'), 0.03333333333333333)
(('theatre', 'post_box'), 0.03333333333333333)
(('school', 'vending_machine'), 0.03278688524590164)
(('bicycle_rental', 'place_of_worship'), 0.032520325203252036)
(('dentist', 'place_of_worship'), 0.032520325203252036)
(('bicycle_repair_station', 'bank'), 0.032467532467532464)
(('bank', 'music_school'), 0.032467532467532464)
(('bank', 'ice_cream'), 0.032467532467532464)
(('bank', 'advertising'), 0.032467532467532464)
(('toilets', 'parking'), 0.03236994219653179)
(('hospital', 'bureau_de_change'), 0.03225806451612903)
