Duration: 216 s 

Number of collocations: 1488

(('payment_terminal', 'payment_terminal'), 1)
(('lounger', 'lounger'), 1)
(('hunting_stand', 'hunting_stand'), 1)
(('parking_space', 'parking_space'), 0.98046875)
(('bench', 'bench'), 0.9296875)
(('parking', 'parking'), 0.9174236168455822)
(('driving_school', 'driving_school'), 0.8)
(('pub', 'pub'), 0.7450980392156863)
(('shelter', 'shelter'), 0.7122093023255814)
(('parking_entrance', 'parking_entrance'), 0.703030303030303)
(('vacuum_cleaner', 'compressed_air'), 0.7)
(('cafe', 'cafe'), 0.6893939393939394)
(('waste_basket', 'waste_basket'), 0.6850393700787402)
(('studio', 'studio'), 0.6666666666666666)
(('recycling', 'waste_disposal'), 0.6203473945409429)
(('waste_disposal', 'waste_disposal'), 0.6153846153846154)
(('restaurant', 'restaurant'), 0.5915492957746479)
(('bank', 'bank'), 0.5844155844155844)
(('bicycle_parking', 'bicycle_parking'), 0.5730337078651685)
(('bbq', 'bbq'), 0.5714285714285714)
(('vending_machine', 'vending_machine'), 0.5654450261780105)
(('fast_food', 'fast_food'), 0.5424836601307189)
(('school', 'school'), 0.5286885245901639)
(('recycling', 'recycling'), 0.5119453924914675)
(('courthouse', 'courthouse'), 0.5)
(('boat_rental', 'bbq]'), 0.5)
(('stripclub', 'stripclub'), 0.5)
(('nightclub', 'pub'), 0.49019607843137253)
(('university', 'university'), 0.47368421052631576)
(('bar', 'bar'), 0.46875)
(('atm', 'atm'), 0.4679245283018868)
(('cafe', 'restaurant'), 0.4563380281690141)
(('bar', 'nightclub'), 0.4375)
(('fuel', 'car_wash'), 0.42045454545454547)
(('atm', 'pharmacy'), 0.41284403669724773)
(('bank', 'fast_food'), 0.4117647058823529)
(('pub', 'bar'), 0.40625)
(('nightclub', 'nightclub'), 0.4)
(('stripclub', 'drinking_water'), 0.4)
(('cafe', 'fast_food'), 0.39215686274509803)
(('pub', 'embassy'), 0.39215686274509803)
(('public_building', 'public_building'), 0.3902439024390244)
(('waste_disposal', 'parking'), 0.37968620974401324)
(('restaurant', 'fast_food'), 0.37746478873239436)
(('atm', 'bank'), 0.37735849056603776)
(('nightclub', 'embassy'), 0.37037037037037035)
(('bank', 'restaurant'), 0.36901408450704226)
(('cafe', 'bank'), 0.35064935064935066)
(('cafe', 'pub'), 0.3409090909090909)
(('fountain', 'fountain'), 0.3333333333333333)
(('clock', 'clock'), 0.3333333333333333)
(('bureau_de_change', 'cafe'), 0.3106060606060606)
(('atm', 'restaurant'), 0.30943396226415093)
(('kindergarten', 'kindergarten'), 0.3046875)
(('bank', 'bureau_de_change'), 0.2922077922077922)
(('recycling', 'parking'), 0.2759702725020644)
(('bank', 'pharmacy'), 0.27522935779816515)
(('pharmacy', 'restaurant'), 0.27522935779816515)
(('car_wash', 'car_wash'), 0.2692307692307692)
(('police', 'police'), 0.2692307692307692)
(('atm', 'fast_food'), 0.2679245283018868)
(('toilets', 'toilets'), 0.26666666666666666)
(('embassy', 'cafe'), 0.26515151515151514)
(('cafe', 'nightclub'), 0.26515151515151514)
(('restaurant', 'pub'), 0.2619718309859155)
(('bar', 'embassy'), 0.25925925925925924)
(('bicycle_rental', 'vending_machine'), 0.25663716814159293)
(('bicycle_parking', 'restaurant'), 0.2556179775280899)
(('luggage_locker', 'bus_station'), 0.25)
(('stripclub', 'language_school'), 0.25)
(('cafe', 'bar'), 0.25)
(('language_school;offices', 'stripclub'), 0.25)
(('prison', 'courthouse'), 0.25)
(('bench', 'bicycle_parking'), 0.24719101123595505)
(('bicycle_parking', 'atm'), 0.24157303370786518)
(('bicycle_rental', 'shelter'), 0.23982558139534885)
(('bank', 'bicycle_rental'), 0.23893805309734514)
(('vending_machine', 'shelter'), 0.23255813953488372)
(('fast_food', 'bureau_de_change'), 0.22875816993464052)
(('cafe', 'fountain'), 0.22727272727272727)
(('embassy', 'embassy'), 0.2222222222222222)
(('nightclub', 'fountain'), 0.2222222222222222)
(('marketplace', 'marketplace'), 0.2222222222222222)
(('bicycle_rental', 'bicycle_parking'), 0.22191011235955055)
(('bicycle_parking', 'parking'), 0.22163501238645747)
(('bank', 'post_office'), 0.22077922077922077)
(('library', 'library'), 0.22033898305084745)
(('bicycle_rental', 'restaurant'), 0.21971830985915494)
(('restaurant', 'nightclub'), 0.21971830985915494)
(('atm', 'vending_machine'), 0.2188679245283019)
(('shelter', 'bicycle_parking'), 0.21656976744186046)
(('pub', 'fountain'), 0.21568627450980393)
(('nightclub', 'fast_food'), 0.21568627450980393)
(('pub', 'stripclub'), 0.21568627450980393)
(('atm', 'bicycle_rental'), 0.21509433962264152)
(('fast_food', 'vending_machine'), 0.2094240837696335)
(('pharmacy', 'fast_food'), 0.20642201834862386)
(('atm', 'cafe'), 0.2037735849056604)
(('atm', 'shelter'), 0.2005813953488372)
(('bench', 'waste_basket'), 0.20052083333333334)
(('car_rental', 'childcare'), 0.2)
(('stripclub', 'nightclub'), 0.2)
(('arts_centre', 'language_school'), 0.2)
(('language_school;offices', 'drinking_water'), 0.2)
(('language_school;offices', 'monastery'), 0.2)
(('vacuum_cleaner', 'vacuum_cleaner'), 0.2)
(('compressed_air', 'compressed_air'), 0.2)
(('restaurant', 'embassy'), 0.19718309859154928)
(('bicycle_rental', 'taxi'), 0.19469026548672566)
(('restaurant', 'bar'), 0.19436619718309858)
(('bureau_de_change', 'restaurant'), 0.18873239436619718)
(('bicycle_parking', 'waste_disposal'), 0.18858560794044665)
(('bicycle_parking', 'bank'), 0.1853932584269663)
(('kindergarten', 'school'), 0.18442622950819673)
(('restaurant', 'vending_machine'), 0.18309859154929578)
(('restaurant', 'fountain'), 0.18309859154929578)
(('embassy', 'fast_food'), 0.1830065359477124)
(('cafe', 'taxi'), 0.18181818181818182)
(('fire_station', 'fire_station'), 0.18181818181818182)
(('shelter', 'parking'), 0.17902559867877788)
(('vending_machine', 'cafe'), 0.17801047120418848)
(('fast_food', 'pub'), 0.17647058823529413)
(('pharmacy', 'post_office'), 0.1743119266055046)
(('bicycle_rental', 'pharmacy'), 0.1743119266055046)
(('bicycle_parking', 'fast_food'), 0.17134831460674158)
(('pharmacy', 'pharmacy'), 0.16972477064220184)
(('atm', 'waste_disposal'), 0.1687344913151365)
(('bicycle_rental', 'fast_food'), 0.168141592920354)
(('vending_machine', 'taxi'), 0.16753926701570682)
(('cafe', 'public_building'), 0.16666666666666666)
(('bbq]', 'ferry_terminal'), 0.16666666666666666)
(('clinic', 'clinic'), 0.16666666666666666)
(('food_court', 'bbq'), 0.16666666666666666)
(('embassy', 'fountain'), 0.16666666666666666)
(('cinema', 'cinema'), 0.16666666666666666)
(('drinking_water', 'townhall'), 0.16666666666666666)
(('stripclub', 'townhall'), 0.16666666666666666)
(('studio', 'townhall'), 0.16666666666666666)
(('bicycle_parking', 'cafe'), 0.16573033707865167)
(('drinking_water', 'nightclub'), 0.16)
(('nightclub', 'bureau_de_change'), 0.16)
(('nightclub', 'language_school;offices'), 0.16)
(('bicycle_parking', 'pharmacy'), 0.15730337078651685)
(('taxi', 'fast_food'), 0.1568627450980392)
(('drinking_water', 'pub'), 0.1568627450980392)
(('fountain', 'community_centre'), 0.15625)
(('bar', 'stripclub'), 0.15625)
(('bank', 'library'), 0.15584415584415584)
(('ice_cream', 'ice_cream'), 0.15384615384615385)
(('shelter', 'restaurant'), 0.15261627906976744)
(('toilets', 'cafe'), 0.15151515151515152)
(('atm', 'bureau_de_change'), 0.1509433962264151)
(('cafe', 'bicycle_rental'), 0.1504424778761062)
(('bar', 'fast_food'), 0.1503267973856209)
(('bench', 'parking'), 0.14731626754748142)
(('atm', 'post_office'), 0.1471698113207547)
(('bench', 'restaurant'), 0.14583333333333334)
(('waste_disposal', 'shelter'), 0.1438953488372093)
(('bank', 'pub'), 0.14285714285714285)
(('bus_station', 'telephone'), 0.14285714285714285)
(('telephone', 'stripclub'), 0.14285714285714285)
(('ferry_terminal', 'bbq'), 0.14285714285714285)
(('pharmacy', 'doctors'), 0.14220183486238533)
(('atm', 'parking'), 0.14203137902559868)
(('pharmacy', 'waste_disposal'), 0.141439205955335)
(('compressed_air', 'car_wash'), 0.14102564102564102)
(('post_office', 'restaurant'), 0.14084507042253522)
(('restaurant', 'taxi'), 0.14084507042253522)
(('restaurant', 'parking'), 0.13988439306358383)
(('parking', 'pharmacy'), 0.1388934764657308)
(('bar', 'fountain'), 0.1388888888888889)
(('stripclub', 'fountain'), 0.1388888888888889)
(('drinking_water', 'fountain'), 0.1388888888888889)
(('restaurant', 'place_of_worship'), 0.13821138211382114)
(('bank', 'shelter'), 0.1380813953488372)
(('cinema', 'bureau_de_change'), 0.13793103448275862)
(('bureau_de_change', 'bureau_de_change'), 0.13793103448275862)
(('bank', 'nightclub'), 0.13636363636363635)
(('community_centre', 'library'), 0.13559322033898305)
(('toilets', 'bureau_de_change'), 0.13333333333333333)
(('charging_station', 'charging_station'), 0.13333333333333333)
(('language_school', 'theatre'), 0.13333333333333333)
(('theatre', 'clock'), 0.13333333333333333)
(('arts_centre', 'theatre'), 0.13333333333333333)
(('vending_machine', 'toilets'), 0.13089005235602094)
