Duration: 258 s 
Number of collocations: 2217
(('payment_terminal', 'payment_terminal'), 1)
(('music_school', 'lombard_banking'), 1)
(('bbq]', 'dojo'), 1)
(('language_school', 'language_school'), 1)
(('lounger', 'lounger'), 1)
(('hunting_stand', 'hunting_stand'), 1)
(('parking_space', 'parking_space'), 0.98828125)
(('parking', 'parking'), 0.9765483071841453)
(('bench', 'bench'), 0.97265625)
(('waste_disposal', 'waste_disposal'), 0.9205955334987593)
(('recycling', 'recycling'), 0.9044368600682594)
(('pub', 'pub'), 0.9019607843137255)
(('waste_basket', 'waste_basket'), 0.8818897637795275)
(('courthouse', 'courthouse'), 0.875)
(('shelter', 'shelter'), 0.872093023255814)
(('parking_entrance', 'parking_entrance'), 0.8424242424242424)
(('bicycle_parking', 'bicycle_parking'), 0.8370786516853933)
(('cafe', 'cafe'), 0.8181818181818182)
(('driving_school', 'driving_school'), 0.8)
(('nightclub', 'nightclub'), 0.76)
(('bank', 'bank'), 0.7532467532467533)
(('language_school;offices', 'stripclub'), 0.75)
(('stripclub', 'stripclub'), 0.75)
(('recycling', 'waste_disposal'), 0.749379652605459)
(('restaurant', 'restaurant'), 0.7436619718309859)
(('vending_machine', 'vending_machine'), 0.7382198952879581)
(('bbq', 'bbq'), 0.7142857142857143)
(('vacuum_cleaner', 'compressed_air'), 0.7)
(('school', 'school'), 0.6967213114754098)
(('atm', 'atm'), 0.6943396226415094)
(('nightclub', 'pub'), 0.68)
(('fast_food', 'fast_food'), 0.673202614379085)
(('studio', 'studio'), 0.6666666666666666)
(('bar', 'bar'), 0.65625)
(('shelter', 'parking'), 0.6497109826589595)
(('pub', 'stripclub'), 0.6470588235294118)
(('nightclub', 'stripclub'), 0.64)
(('bureau_de_change', 'cafe'), 0.6363636363636364)
(('cafe', 'fountain'), 0.6363636363636364)
(('atm', 'pharmacy'), 0.6192660550458715)
(('cafe', 'restaurant'), 0.6140845070422535)
(('restaurant', 'fast_food'), 0.6140845070422535)
(('restaurant', 'bank'), 0.6140845070422535)
(('pub', 'drinking_water'), 0.5882352941176471)
(('bank', 'fast_food'), 0.5816993464052288)
(('waste_disposal', 'parking'), 0.5793559042113955)
(('bicycle_parking', 'waste_disposal'), 0.5758426966292135)
(('cafe', 'bank'), 0.5714285714285714)
(('public_building', 'public_building'), 0.5609756097560976)
(('bank', 'bureau_de_change'), 0.551948051948052)
(('fuel', 'car_wash'), 0.5454545454545454)
(('university', 'university'), 0.543859649122807)
(('atm', 'shelter'), 0.5348837209302325)
(('restaurant', 'bicycle_parking'), 0.5337078651685393)
(('bicycle_parking', 'bicycle_rental'), 0.5309734513274337)
(('fountain', 'fountain'), 0.5277777777777778)
(('cafe', 'pub'), 0.5227272727272727)
(('embassy', 'embassy'), 0.5185185185185185)
(('pub', 'embassy'), 0.5185185185185185)
(('bicycle_parking', 'parking'), 0.5152766308835673)
(('cafe', 'fast_food'), 0.5098039215686274)
(('fast_food', 'vending_machine'), 0.5026178010471204)
(('pharmacy', 'pharmacy'), 0.5)
(('boat_rental', 'bbq]'), 0.5)
