(beauty salon, dry cleaner) 1
(picnic_area, public_bookcase) 0.3333333333333333
(waste_basket, bench) 0.26356589147286824
(taxi, telephone) 0.25
(toilets, drinking_water) 0.20408163265306123
(bicycle_parking, bicycle_rental) 0.18032786885245902
(townhall, courthouse) 0.16666666666666666
(bar, restaurant) 0.1575
(townhall, police) 0.14814814814814814
(bar, cafe) 0.14583333333333334
(cafe, restaurant) 0.1425
(bank, pharmacy) 0.12307692307692308
(bicycle_parking, toilets) 0.12244897959183673
(bicycle_repair_station, fountain) 0.11764705882352941
(police, courthouse) 0.1111111111111111
(theatre, arts_centre) 0.10344827586206896
(restaurant, fast_food) 0.1025
(vending_machine, pub) 0.1
(bicycle_parking, drinking_water) 0.09836065573770492
(post_box, post_office) 0.09090909090909091
(nightclub, veterinary) 0.09090909090909091
(nightclub, ice_cream) 0.09090909090909091
(veterinary, ice_cream) 0.09090909090909091
(cafe, bicycle_parking) 0.09090909090909091
(bicycle_repair_station, public_building) 0.09090909090909091
(bicycle_rental, public_building) 0.09090909090909091
(ice_cream, casino) 0.09090909090909091
(donuts, ice_cream) 0.09090909090909091
(atm, bank) 0.08196721311475409
(waste_basket, post_box) 0.08
(pharmacy, clinic) 0.07692307692307693
(telephone, atm) 0.07692307692307693
(atm, nightclub) 0.07692307692307693
(bar, pub) 0.07291666666666667
(bicycle_rental, theatre) 0.06818181818181818
(pub, nightclub) 0.06666666666666667
(toilets, shelter) 0.06569343065693431
(bench, bicycle_parking) 0.06557377049180328
(bicycle_parking, bank) 0.06557377049180328
(bar, bicycle_rental) 0.0625
(drinking_water, bicycle_repair_station) 0.0625
(bicycle_repair_station, food_court) 0.0625
(restaurant, parking) 0.060979462875197475
(fast_food, fuel) 0.06074766355140187
(arts_centre, public_building) 0.06060606060606061
(ice_cream, public_building) 0.06060606060606061
(fountain, public_building) 0.06060606060606061
(telephone, fountain) 0.058823529411764705
(atm, fountain) 0.058823529411764705
(parking_entrance, public_bookcase) 0.058823529411764705
(parking_entrance, fountain) 0.058823529411764705
(social_facility, beauty salon) 0.058823529411764705
(social_facility, dentist) 0.058823529411764705
(arts_centre, dentist) 0.058823529411764705
(dentist, nightclub) 0.058823529411764705
(dentist, vending_machine) 0.058823529411764705
(car_wash, ice_cream) 0.058823529411764705
(bench, shelter) 0.058394160583941604
(fire_station, police) 0.05555555555555555
(clinic, hospital) 0.05555555555555555
(drinking_water, university) 0.05263157894736842
(cafe, bicycle_rental) 0.05194805194805195
(pharmacy, cafe) 0.05194805194805195
(bicycle_parking, fast_food) 0.05161290322580645
(doctors, social_facility) 0.05
(bicycle_rental, restaurant) 0.05
(school, place_of_worship) 0.0489060489060489
(toilets, bench) 0.046511627906976744
(pharmacy, doctors) 0.046153846153846156
(bicycle_repair_station, bicycle_rental) 0.045454545454545456
(post_office, car_wash) 0.045454545454545456
(fast_food, cafe) 0.04516129032258064
